Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,AERL,43,,31,,33,,,,43,,
,AERO,87,,,,,,,,151,,
,BMEL,34,,,,,,,,34,,
,BMEN,71,,17,,10,,,,98,,
,CECL,54,,,,,,,,54,,
,CECN,128,,1,,,,,,129,,
,CEEL,34,,,,,,,,34,,
,CEEN,65,,,,,,,,65,,
,CHEL,71,,,,,,,,71,,
,CHEN,201,,29,,56,,,,286,,
,CPEN,,,44,,13,,,,57,,
,CPSC,172,,113,,59,,,,344,,
,CPSL,97,,,,,,,,97,,
,CVEL,52,,,,,,,,52,,
,CVEN,232,,92,,65,,,,389,,
,ELEL,86,,,,,,,,86,,
,ELEN,182,,123,,128,,,,433,,
,ENGR,,,,,4,,,,4,,
,ENSM,,,2,,,,,,2,,
,ENTC,192,,,,,,,,192,,
,ENTL,46,,,,,,,,46,,
,HLPH,,,2,,,,,,2,,
,IDIL,88,,,,,,,,88,,
,IDIS,160,,,,,,,,160,,
,IHYG,,,4,,,,,,4,,
,INEL,14,,,,,,,,14,,
,INEN,95,,74,,23,,,,192,,
,ITDE,,,3,,14,,,,17,,
,LCEM,,,1,,,,,,1,,
,MEEL,90,,,,,,,,90,,
,MEEN,332,,129,,60,,,,521,,
,NUEL,10,,,,,,,,10,,
,NUEN,21,,22,,13,,,,56,,
,OCEL,7,,,,,,,,7,,
,OCEN,22,,16,,18,,,,56,,
,PETE,17,,70,,26,,,,113,,
,PETL,16,,,,,,,,16,,
,PREN,27,,,,,,,,27,,
,RHEL,2,,,,,,,,2,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
