Summer 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ATMO,6,3,1,1,10,2,1,2,1,1,1,1,1,1,8,1,9,
,ESCI,2,,,,,,,,,,,,,,2,3,5,
,GEOG,48,42,,,,,,,,,,1,,,58,47,105,
,GEOL,32,28,,,2,2,,1,,,13,1,,,47,33,80,
,GEOP,8,1,,,,,,,,,16,3,,1,24,5,29,
,GEOS,,1,,,,,,,,,,,,,,1,1,
,METR,43,17,,,1,2,,1,,,8,5,,1,52,26,78,
,OCNG,19,13,,,,2,,,,,14,8,2,1,36,24,60,
,Sub-Total,158,105,,,13,8,1,4,,,52,19,3,4,227,140,367,
G. Bush School,BUSH,15,10,,,2,1,,1,,,,1,,,17,14,31,
of Govt,PADM,1,,,,,,,,,,,,,,1,,1,
,Sub-Total,16,10,,1,2,1,,1,,,,1,,,18,14,32,
Liberal Arts,ANTH,19,35,,,4,2,1,2,,,1,2,,,25,41,66,
,ECOL,,,,,,,,,,,1,,,,1,,1,
,ECON,163,39,,3,16,5,5,2,,,21,5,1,1,208,55,263,
,ENGL,63,177,2,3,7,29,,4,,,6,5,1,2,79,220,299,
,FREN,,1,,,,1,,,,,,,,,,2,2,
,GERM,,3,,,,,,,,,,,,,,3,3,
,HIST,100,71,1,2,13,13,,1,,,,,2,2,116,90,206,
,INTS,18,40,2,1,9,16,3,2,,,1,2,,2,33,63,96,
,JOUR,77,187,3,10,14,20,2,4,,2,1,,,1,97,224,321,
,MODL,,1,,,1,,,,,,,,,,1,1,2,
,PHIL,17,5,,,2,1,2,,,,,,1,,22,6,28,
,POLS,151,118,3,5,16,10,,3,1,,6,3,3,1,180,140,320,
,PSYC,98,324,5,15,22,43,4,13,1,3,3,3,1,7,134,408,542,
,RUSS,,2,,,,,,,,,,,,,,2,2,
,SCOM,57,157,5,5,5,12,1,1,1,2,1,,1,3,71,180,251,
,SOCI,39,81,6,6,8,12,1,2,,1,3,6,1,,58,108,166,
,SPAN,1,12,,,4,12,1,,,,,,,1,6,25,31,
,STJR,2,4,,,,,,,,1,1,2,1,,4,7,11,
,THAR,3,7,1,,2,5,,,,,,,,,6,12,18,
,Sub-Total,808,1264,29,50,123,181,20,34,4,10,45,28,12,20,1041,1587,2628,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,
