Summer 2000,White,,Black,,Hispanic,,Asian,,American,,,,International,,Unknown/Other,,,Total,,Total,
,,,,,,,,,Indian,,,,,,,,,,,,
Science                   APMS,M,F,M,F,M,F,M,F,M,,F,,M,F,M,F,,M,F,,
,14,24,,,6,,1,,,,,,2,,1,,,24,24,48,
BIOL,51,78,4,13,14,16,7,8,,,,1,12,8,3,,3,91,127,218,
BMCB,8,16,,3,,1,1,5,,,,,,,1,,,10,25,35,
BOTN,2,5,,,,1,,,,1,,,,1,,,,3,7,10,
CHEM,91,59,4,1,7,6,5,7,,1,,,47,29,1,,2,156,104,260,
ELIN,,,,,,,,,,,,,1,,,,,1,,1,
GENE,,,,,,,,,,,,,1,,,,,1,,1,
MATH,26,25,1,3,1,1,3,2,,,,,25,11,,,1,56,43,99,
MBIO,30,29,1,1,4,4,1,1,,,,,4,5,2,,3,42,43,85,
PHYS,70,21,3,,2,1,2,,,,,1,53,10,1,,1,131,34,165,
PPHY,1,1,,,,,,,,,,,,1,,,,1,2,3,
STAT,9,3,,,,,1,,,,,,17,15,,,,27,18,45,
TOXI,,,,,,,,1,,,,,,,,,,,1,1,
ZOOL,26,39,2,,1,3,1,1,,,,,1,1,,,,31,44,75,
Sub-Total,328,300,15,21,35,33,22,25,,2,,2,163,81,9,,10,574,472,1046,
Veterinary              BIML,34,68,,5,2,10,4,4,,,,1,,,,,,40,88,128,
Medicine                BIMS,139,282,5,18,21,38,9,14,,3,,2,1,3,2,,4,180,361,541,
EPID,,3,,,,,,,,,,,,,,,,,3,3,
GENE,6,4,,,,,,,,,,,,1,1,,,7,5,12,
TOXI,12,11,,,2,1,1,1,,,,,5,4,,,,20,17,37,
VPAT,1,3,1,,,,,,,,,,3,,,,,5,3,8,
VPHY,3,4,,,1,,,,,,,,,3,,,,4,7,11,
VTAN,4,4,,,,,,,,,,,1,2,,,,5,6,11,
VTMD,40,79,,,,6,1,3,,1,,,,,,,,42,88,130,
VTMI,7,9,,,1,,,1,,,,,5,6,,,,13,16,29,
VTMS,1,1,,,,,,,,,,,,,,,,1,1,2,
Sub-Total,247,468,6,23,27,55,15,23,,4,,3,15,19,3,,4,317,595,912,
Distance                 EDTC,,,,,,,,,,,,,,,,,1,,1,1,
Education               INEN,1,,,,,,,,,,,,,,,,,1,,1,
Sub-Total,1,,,,,,,,,,,,,,,,1,1,1,2,
General Studies      GEST,186,159,29,13,28,38,9,7,,3,,2,2,3,7,,5,264,227,491,
GSEN,,1,,,,,,,,,,,,,,,,,1,1,
Sub-Total,186,160,29,13,28,38,9,7,,3,,2,2,3,7,,5,264,228,492,
Exchange               REEP,,,,,,,,,,,,,3,1,,,,3,1,4,
Sub-Total,,,,,,,,,,,,,3,1,,,,3,1,4,
GRAND Total,6713,6497,232,314,790,771,325,239,,38,,37,1481,538,118,,135,9697,8531,18228,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,,,
