Top 10,,,,,,,,,
Summer 2000  Feeder Patterns Main Campus,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2648,,,14.5%,,,,
Brazos,,1368,,,7.5%,,,,
Bexar,,863,,,4.7%,,,,
Dallas,,813,,,4.5%,,,,
Tarrant,,710,,,3.9%,,,,
Travis,,388,,,2.1%,,,,
Fort Bend,,381,,,2.1%,,,,
Montgomery,,361,,,2.0%,,,,
Collin,,355,,,1.9%,,,,
Brazoria,,250,,,1.4%,,,,
State,Students  % Total,,,,,,,,
Texas,14732,,,80.8%,,,,,
Louisiana,190,,,1.0%,,,,,
California,146,,,0.8%,,,,,
Illinois,62,,,0.3%,,,,,
Pennsylvania,58,,,0.3%,,,,,
Florida,57,,,0.3%,,,,,
Oklahoma,56,,,0.3%,,,,,
Arkansas,55,,,0.3%,,,,,
New Mexico,52,,,0.3%,,,,,
New York,50,,,0.3%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16119,,,,88.4%,,
"China, People's Rep of",,,384,,,,2.1%,,
India,,,374,,,,2.1%,,
"Korea, Republic of",,,301,,,,1.7%,,
Mexico,,,73,,,,0.4%,,
Indonesia,,,69,,,,0.4%,,
Taiwan,,,61,,,,0.3%,,
Turkey,,,48,,,,0.3%,,
Bangladesh,,,44,,,,0.2%,,
Thailand,,,44,,,,0.2%,,
