Special Contract Students,,,,,
Summer 2000,,,,,
Summer 2000,,,,,
Masters       PhD,,,,,
GRAND,,,,,
Total,,,,,
Head Count,Total,16,1,17,
Gender,Male,9,1,10,
,Female,7,,7,
TAMU Age Categories,22-25,5,,5,
,26-30,4,,4,
,31-39,5,1,6,
,40+,2,,2,
Enrollment Status,Continuing,16,1,17,
Residency Status,Texas Resident,7,,7,
,"Non-TX, Non-US Resident",9,1,10,
SCH Categories,< 6 SCH,7,,7,
,6-8 SCH,8,1,9,
"Prepared by OISP, 12 Oct 00",,,,,
