Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,398,,3,,34,,,,401,,
,AGBL,80,,,,,,,,80,,
,AGBU,136,,17,,,,,,153,,
,AGEC,170,,24,,,,,,228,,
,AGED,,,19,,20,,,,39,,
,AGEN,33,,23,,6,,,,62,,
,AGJR,40,,,,,,,,40,,
,AGLS,101,,,,,,,,101,,
,AGRO,44,,12,,9,,,,65,,
,AGSC,47,,,,,,,,47,,
,AGSM,68,,2,,,,,,70,,
,ANBR,,,,,1,,,,1,,
,ANSC,292,,31,,19,,,,342,,
,BESC,77,,,,,,,,77,,
,BICH,69,,33,,53,,,,155,,
,BSEN,13,,,,,,,,13,,
,DASC,8,,,,,,,,8,,
,ENTO,15,,20,,25,,,,60,,
,FLOR,1,,,,,,,,1,,
,FORS,8,,2,,8,,,,18,,
,FSTC,46,,26,,12,,,,84,,
,GENE,82,,8,,24,,,,114,,
,HORT,56,,19,,10,,,,85,,
,NRDV,,,2,,,,,,2,,
,NUSC,98,,,,,,,,98,,
,NUTR,,,40,,13,,,,53,,
,PLBR,,,11,,12,,,,23,,
,PLPA,,,14,,18,,,,32,,
,POSC,48,,13,,6,,,,67,,
,PPHY,,,8,,11,,,,19,,
,PREP,,,17,,8,,,,25,,
,PSSC,3,,,,,,,,3,,
,RENR,8,,,,,,,,8,,
,RLEM,34,,16,,16,,,,66,,
,RPTS,135,,7,,12,,,,154,,
,RRDV,,,,,2,,,,2,,
,RSOC,,,1,,,,,,1,,
,SOSC,,,14,,15,,,,29,,
,TOXI,,,,,1,,,,1,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
