Country,Undergraduate,Masters,PhD,Professional,Total Students
Algeria,,1,,,1
Angola,3,1,,,4
Argentina,2,5,2,,9
Armenia,,2,1,,3
Austria,2,,1,,3
Azerbaijan,1,2,,,3
Bahrain,1,,,,1
Bangladesh,5,33,6,,44
Belarus,,3,2,,5
Belgium,1,,,,1
Belize (British Honduras),1,,,,1
Bolivia,3,4,,,7
Botswana,,,1,,1
Brazil,4,4,8,,16
Brunei,,,1,,1
Bulgaria,,3,2,,5
Canada,7,10,13,,30
Chile,,,1,,1
"China, People's Rep of",4,160,220,,384
Colombia,2,14,7,,23
Costa Rica,5,2,2,,9
Croatia,,2,,,2
Cyprus,3,,,,3
Dominican Republic,1,1,,,2
Ecuador,9,5,2,,16
Egypt (A.R.E.),,6,15,,21
El Salvador,4,1,,,5
Ethiopia,1,,,,1
France,2,13,6,,21
Georgia (C.I.S.),,,1,,1
Germany,4,1,6,,11
Ghana,,5,4,,9
Greece,,5,4,,9
Guatemala,16,2,,,18
Honduras,15,5,2,,22
Hong Kong,5,1,1,,7
Iceland,,,1,,1
