Headcount by College by Ethnic Origin by Gender Summer 2000,,,,,,,,,,,,,,,,,,,,
"Summer 2000
Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine Distance Education General Studies Exchange
GRAND Total",International,,Black,,Am. Indian,,,,Asian,,Hispanic,,White,,Other,,Total,,"Total
3082
725
2835
2050
4053
367
32
2628
1046
912
2
492
4
18228",
,M,F,M,F,M,,F,,M,F,M,F,M,F,M,F,M,F,,
,163,90,51,29,,2,,6,33,21,113,88,1268,1168,25,25,1655,1427,,
,51,28,8,3,,2,,,10,5,44,16,370,176,6,6,491,234,,
,74,57,21,35,,10,,2,32,39,104,107,1121,1192,17,24,1379,1456,,
,9,25,21,89,,2,,11,4,15,61,149,389,1245,10,20,496,1554,,
,904,186,52,50,,9,,1,179,65,240,95,1821,409,26,16,3231,822,,
,52,19,,,,,,,1,4,13,8,158,105,3,4,227,140,,
,,1,,1,,,,,,1,2,1,16,10,,,18,14,,
,45,28,29,50,,4,,10,20,34,123,181,808,1264,12,20,1041,1587,,
,163,81,15,21,,2,,2,22,25,35,33,328,300,9,10,574,472,,
,15,19,6,23,,4,,3,15,23,27,55,247,468,3,4,317,595,,
,,,,,,,,,,,,,1,,,1,1,1,,
,2,3,29,13,,3,,2,9,7,28,38,186,160,7,5,264,228,,
,3,1,,,,,,,,,,,,,,,3,1,,
,1481,538,232,314,,38,,37,325,239,790,771,6713,6497,118,135,9697,8531,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,,
