Summer 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architectur,ARCH,38,,3,,1,,1,,1,,30,,1,,74,,
e,COMG,9,,,,,,,,,,11,,,,20,,
,COSC,133,,2,,12,,1,,,,1,,2,,151,,
,COSL,48,,,,7,,,,,,,,4,,59,,
,ENDL,64,,3,,6,,5,,,,3,,3,,85,,
,ENDS,169,,2,,26,,4,,1,,7,,1,,210,,
,LADE,2,,,,,,,,,,1,,,,3,,
,LAND,29,,,,3,,,,,,3,,,,35,,
,LANL,9,,,,,,,,,,1,,1,,11,,
,LDEV,11,,,,1,,,,,,4,,,,16,,
,URPL,4,,,,,,,,,,5,,,,9,,
,URSC,10,,1,,,,,,,,10,,,,21,,
,VIZA,20,,,,4,,4,,,,3,,,,31,,
,SubTotal,546,,11,,60,,15,,2,,79,,12,,725,,
Business,ACCT,461,,10,,42,,6,,3,,20,,7,,549,,
Admin,AGBU,3,,,,,,,,,,,,,,3,,
,BUAD,436,,9,,34,,16,,2,,32,,6,,535,,
,BUAG,2,,,,,,,,,,,,,,2,,
,FINC,378,,7,,32,,8,,1,,13,,8,,447,,
,INFO,311,,13,,29,,28,,3,,18,,8,,410,,
,MGMT,251,,5,,36,,8,,1,,19,,6,,326,,
,MISY,24,,,,4,,1,,,,14,,,,43,,
,MKTG,430,,12,,33,,4,,2,,13,,6,,500,,
,MLER,17,,,,1,,,,,,2,,,,20,,
,SubTotal,2313,,56,,211,,71,,12,,131,,41,,2835,,
Education,CPSY,33,,1,,7,,1,,,,,,1,,43,,
,EDAD,166,,26,,21,,1,,1,,1,,3,,219,,
,EDCI,130,,37,,27,,3,,1,,10,,6,,214,,
,EDHL,80,,7,,12,,2,,2,,,,2,,105,,
,EDIS,285,,3,,22,,1,,3,,,,3,,317,,
,EDKI,129,,4,,18,,2,,,,,,3,,156,,
,EDTC,22,,,,,,1,,,,7,,,,30,,
,EHRD,82,,7,,8,,,,1,,7,,3,,108,,
,EPSY,70,,4,,11,,2,,2,,4,,,,93,,
,HEED,11,,1,,,,1,,,,,,,,13,,
,HLTH,101,,8,,19,,2,,2,,,,1,,133,,
,IDTC,2,,,,,,,,,,,,,,2,,
,INST,276,,4,,26,,2,,,,,,3,,311,,
,KINE,208,,3,,21,,,,1,,3,,2,,238,,
,PHED,10,,,,3,,1,,,,,,1,,15,,
,SPSY,16,,5,,14,,,,,,2,,1,,38,,
,TECR,13,,,,1,,,,,,,,1,,15,,
,SubTotal,1634,,110,,210,,19,,13,,34,,30,,2050,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,
