Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Education,SPSY,19,,3,5,8,,1,3,,39
,TCMG,20,,2,,10,,1,,,33
,TCML,34,,4,3,19,,,,,60
,TECR,8,,,,1,,,,,9
,USEH,2,,,,,,,,,2
,Subtotal,"3,686",13,114,285,782,2,84,181,7,"5,154"
Engineering,AERL,228,1,11,5,64,,14,6,1,330
,AERO,337,2,16,6,58,,12,51,2,484
,BIOT,2,,3,,2,,,12,,19
,BMEL,119,1,13,6,36,,8,,,183
,BMEN,199,,35,9,42,,10,35,2,332
,CECL,110,1,11,8,45,1,3,9,,188
,CECN,92,2,17,9,16,,2,74,,212
,CEEL,61,,9,5,29,,1,6,,111
,CEEN,51,,2,3,10,1,5,85,,157
,CHEL,144,1,21,4,37,,3,5,1,216
,CHEN,347,1,48,21,65,1,13,113,3,612
,CPSC,197,1,18,13,38,1,4,162,3,437
,CPSL,157,1,22,13,38,,8,11,1,251
,CVEL,206,,8,5,60,,6,3,,288
,CVEN,534,,40,22,126,1,8,227,3,961
,ELEL,264,1,44,8,70,,11,21,1,420
,ELEN,262,,70,19,89,2,12,377,1,832
,ENGR,3,,2,1,1,,,1,,8
,ENSM,7,,1,1,1,,,1,,11
,ENTC,173,,15,9,40,,4,4,,245
,ENTL,83,,5,8,31,,2,1,,130
,HLPH,9,,1,,1,,,,,11
,IDIL,126,2,3,4,20,,5,2,,162
,IDIS,304,1,9,12,55,,2,6,,389
,INEL,130,1,12,8,34,1,1,22,2,211
,INEN,290,1,30,27,107,1,8,196,4,664
,ITDE,1,,1,,,,,,,2
,MEEL,328,1,14,7,65,,9,6,1,431
,MEEN,693,6,48,22,119,3,8,253,,"1,152"
