Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,1,1,1,5,,8,,,,2,2,,,10
,ALEC,9,,24,30,1,64,2,2,4,7,7,,,75
,ANSC,,1,2,2,,5,,2,2,2,2,,,9
,BAEN,,1,1,4,,6,,,,4,4,,,10
,BCBP,8,4,1,7,,20,,,,2,2,,,22
,CLAG,2,1,3,1,,7,,,,,,,,7
,ENTO,7,3,,1,,11,,,,1,1,,,12
,ESSM,1,,,1,,2,,1,1,2,2,,,5
,HRSC,,,,1,,1,,,,,,,,1
,NFSC,2,2,4,3,,11,,1,1,1,1,,,13
,PLPM,,3,1,5,,9,,,,1,1,,,10
,POSC,,,1,4,,5,,,,2,2,,,7
,RPTS,,2,7,,2,11,,,,5,5,,,16
,SCSC,,,,2,,2,,1,1,3,3,,,6
,WFSC,,1,3,3,,7,,3,3,1,1,,,11
,Subtotal,30,19,48,69,3,169,2,10,12,33,33,,,214
Architecture,ARCH,2,,2,2,,6,,2,2,,,,,8
,CLAR,,,,1,,1,,,,,,,,1
,COSC,1,,7,3,,11,,1,1,,,,,12
,LAUP,2,1,1,1,,5,,1,1,2,2,,,8
,VIZA,,1,,1,,2,,,,,,,,2
,Subtotal,5,2,10,8,,25,,4,4,2,2,,,31
Business Admin,ACCT,,,7,11,,18,,4,4,,,,,22
,CLBA,26,13,7,7,,53,,15,15,,,,,68
,FINC,,1,5,3,,9,,2,2,,,,,11
,INFO,,,1,12,,13,,,,,,,,13
,MGMT,,,3,8,,11,,3,3,1,1,,,15
,MKTG,,,2,8,,10,,1,1,,,,,11
,Subtotal,26,14,25,49,,114,,25,25,1,1,,,140
Education,CLED,,,,,,,,,,,,,,
,EAHR,1,1,6,9,,17,2,16,18,47,47,,,82
,EPSY,,1,1,2,,4,,6,6,14,14,,,24
,HLKN,14,12,30,21,,77,,12,12,9,9,,,98
,TLAC,5,3,7,9,1,25,,13,13,43,43,,,81
,Subtotal,20,17,44,41,1,123,2,47,49,113,113,,,285
