Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,2,2,,,,,2,
,AGBL,3,9,3,,,15,,,,,,,,15,
,AGBU,,,2,10,,12,,2,2,,,,,14,
,AGCJ,3,6,5,9,,23,,,,,,,,23,
,AGEC,,2,15,21,,38,,3,3,1,1,,,42,
,AGLS,,4,4,1,,9,,,,,,,,9,
,AGRO,1,3,5,9,,18,,,,,,,,18,
,AGSC,,3,4,5,,12,,,,,,,,12,
,AGSM,1,3,4,11,,19,,,,,,,,19,
,ALEC,,,,,,,,2,2,4,4,,,6,
,ALED,7,4,18,23,,52,,,,,,,,52,
,ANBR,,,,,,,,,,,,,,,
,ANSC,35,26,26,39,3,129,,3,3,1,1,,,133,
,BAEN,8,7,8,5,,28,,3,3,,,,,31,
,BESC,2,5,18,37,,62,,,,,,,,62,
,BICH,9,7,4,8,,28,,,,6,6,,,34,
,BIOT,,,,,,,,,,,,,,,
,CDEV,3,1,1,2,,7,,,,,,,,7,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,2,2,,4,,,,,,,,4,
,ENST,1,1,1,2,,5,,,,,,,,5,
,ENTO,4,4,7,12,,27,,6,6,3,3,,,36,
,FISC,,,,,,,,1,1,,,,,1,
,FIVL,18,8,1,1,,28,,,,,,,,28,
,FIVS,,,2,3,,5,,,,,,,,5,
,FLOR,,,,1,,1,,,,,,,,1,
,FORS,,1,,1,,2,,1,1,,,,,3,
,FSTC,2,1,4,16,,23,,2,2,1,1,,,26,
,GENE,4,2,2,1,,9,,3,3,1,1,,,13,
,HORT,2,3,7,15,,27,,1,1,1,1,,,29,
,MEPS,,,,,,,,1,1,1,1,,,2,
,NRDV,,,,,,,,4,4,,,,,4,
,NUSC,16,10,18,29,1,74,,,,,,,,74,
,NUTR,,,,,,,,1,1,,,,,1,
,PLBR,,,,,,,,1,1,1,1,,,2,
,PLPA,,,,,,,,2,2,7,7,,,9,
