Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,1,,1,2,,4,,,,4,4,,,8,
,CLSS,,,,,,,,,,,,,,,
,COMM,4,1,6,4,,15,,,,2,2,,,17,
,ECON,4,5,13,15,,37,1,,1,1,1,,,39,
,ENGL,1,4,4,8,,17,,,,,,,,17,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,1,,2,1,1,5,,,,,,,,5,
,INTS,6,3,8,2,,19,,,,,,,,19,
,MODL,,,,,,,,,,,,,,,
,MUSC,,1,,1,,2,,,,,,,,2,
,NRSC,,,,,,,,,,1,1,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,2,,2,2,,6,,,,,,,,6,
,POLS,6,6,6,8,,26,,,,2,2,,,28,
,PSYC,5,14,21,31,,71,,4,4,2,2,,,77,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,7,7,,15,,1,1,3,3,,,19,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,4,4,,8,,,,,,,,8,
,THAR,,,,1,,1,,,,,,,,1,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,30,35,74,86,1,226,1,5,6,15,15,,,247,
