Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,1,,,,1,,,,,,,,1,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,1,3,2,,6,,1,1,,,,,7,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,2,2,,,2,
,SPSA,,,,1,,1,,,,,,,,1,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,1,,1,,,,,,,,1,
,WFSC,1,,,1,,2,,1,1,,,,,3,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,28,31,39,63,1,162,,15,15,10,10,,,187,
Architecture,ARCH,,,,,,,,4,4,3,3,,,7,
,COMG,,,,,,,,,,,,,,,
,COSC,,,1,1,,2,,,,,,,,2,
,COSL,,,1,,,1,,,,,,,,1,
,ENDL,6,,1,,,7,,,,,,,,7,
,ENDS,,,3,5,,8,,,,,,,,8,
,LAND,,,,4,,4,,,,,,,,4,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,1,,,,,1,,,,2,2,,,3,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,2,2,,,,4,,,,,,,,4,
,VIST,,,1,1,,2,,7,7,,,,,9,
,Subtotal,9,2,7,12,,30,,11,11,5,5,,,46,
