International,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,1,1,,,1,
APMS,1,,,3,,4,,,,,,,,4,
BIOL,3,,,,,3,,12,12,25,25,,,40,
BMCB,,,,2,,2,,,,,,,,2,
BOTN,,,,,,,,,,,,,,,
CHEM,,,2,5,,7,,37,37,105,105,,,149,
GENE,,,,,,,,,,,,,,,
MATH,1,1,,,,2,,23,23,59,59,,,84,
MBIO,,1,,,,1,,2,2,6,6,,,9,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,1,1,,,1,
PHYS,1,,2,2,,5,,28,28,54,54,,,87,
STAT,,,,,,,2,14,16,39,39,,,55,
USSC,,,,,,,,,,,,,,,
ZOOL,,,,,,,,,,1,1,,,1,
Subtotal,6,2,4,12,,24,2,116,118,291,291,,,433,
Veterinary Medicine     BIMS,1,,2,1,,4,,8,8,23,23,,,35,
BIOT,,,,,,,,2,2,,,,,2,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,5,5,,,,,5,
TOXI,,,,,,,,1,1,4,4,,,5,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,1,,1,2,2,,,3,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,,,,
VTMI,,,,,,,,,,4,4,,,4,
VTPH,,,,,,,,,,,,,,,
Subtotal,1,,2,1,,4,1,16,17,33,33,,,54,
General Studies             GEST,38,11,,,,49,,,,,,,,49,
TEAM,,,,,,,,,,,,,,,
Subtotal,38,11,,,,49,,,,,,,,49,
