Unknown or Not Reported,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                      MARB
Populations                           MARM MAST MDSC PHLT REEP
Subtotal
University                              Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,3,,3,,,,,3,
,,,,,,,4,,4,,,,,4,
,,,,,,,,,,,,,,,
,,,,,,,7,,7,,,,,7,
,19,18,26,12,,75,13,43,56,28,28,7,7,166,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,
