Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,POSC,5,18,35,49,2,109,1,8,9,2,2,,,120
,PPRO,,,,,,,,1,1,,,,,1
,PREP,,,,,,,,2,2,5,5,,,7
,PSSC,,,,4,,4,,,,,,,,4
,RENR,3,7,14,19,,43,,,,,,,,43
,RLEM,7,10,16,15,,48,,22,22,11,11,,,81
,RPTS,12,56,104,132,1,305,,14,14,15,15,,,334
,RRDV,,,,,,,,1,1,,,,,1
,SOSC,,,,,,,,9,9,10,10,,,19
,SPSA,1,4,9,10,,24,,,,,,,,24
,TOXI,,,,,,,,,,1,1,,,1
,USAL,,2,24,73,,99,,,,,,,,99
,WFSC,36,62,82,110,5,295,,27,27,30,30,,,352
,WISC,,,,,,,,13,13,,,,,13
,WMHS,,,,,,,,9,9,2,2,,,11
,Subtotal,479,744,"1,210","1,801",29,"4,263",15,453,468,260,260,,,"4,991"
Architecture,ARCH,,,,,,,2,53,55,10,10,,,65
,COMG,,,,,,,,17,17,,,,,17
,COSC,,,65,224,1,290,,,,,,,,290
,COSL,38,94,56,9,,197,,,,,,,,197
,ENDL,54,47,20,5,,126,,,,,,,,126
,ENDS,,1,22,75,,98,,,,,,,,98
,LAND,,1,9,41,,51,,7,7,,,,,58
,LANL,7,15,7,,,29,,,,,,,,29
,LDEV,,,,,,,,21,21,,,,,21
,NUTR,,,,,,,,,,,,,,
,URPL,,,,,,,,26,26,,,,,26
,URSC,1,14,7,22,,44,,,,6,6,,,50
,USAR,,4,9,19,,32,,,,,,,,32
,VISL,36,27,12,5,,80,,,,,,,,80
,VIST,,2,21,46,,69,2,55,57,,,,,126
,Subtotal,136,205,228,446,1,"1,016",4,179,183,16,16,,,"1,215"
