Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,5,,1,4,,10,,,,1,1,,,11
,BMEN,2,5,1,4,,12,,2,2,1,1,,,15
,CHEN,2,5,2,13,,22,1,2,3,2,2,,,27
,CLEN,,,,1,,1,,,,1,1,,,2
,CSCE,9,8,8,12,,37,,2,2,4,4,,,43
,CVEN,4,4,4,15,,27,,3,3,,,,,30
,ECEN,9,4,4,9,,26,,6,6,3,3,,,35
,ETID,2,4,10,17,,33,,,,,,,,33
,ISEN,2,6,5,16,,29,,4,4,3,3,,,36
,MEEN,6,4,2,9,,21,1,2,3,5,5,,,29
,NUEN,1,1,2,3,,7,,2,2,,,,,9
,PETE,4,4,6,3,,17,,6,6,4,4,,,27
,Subtotal,46,45,45,106,,242,2,29,31,24,24,,,297
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,8,8,16,,,,,16
,Subtotal,,,,,,,8,8,16,,,,,16
,ATMO,2,1,1,1,,5,,1,1,,,,,6
,CLGE,,,,1,,1,,,,,,,,1
,GEOG,,2,1,3,,6,,1,1,1,1,,,8
,GEPL,1,1,,4,,6,,2,2,,,,,8
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,3,4,2,9,,18,,5,5,1,1,,,24
,ANTH,1,1,2,1,,5,,2,2,3,3,,,10
,CLLA,2,4,12,7,,25,,,,,,,,25
,COMM,9,8,10,9,,36,,,,3,3,,,39
,ECON,3,3,5,5,,16,,,,,,,,16
,ENGL,1,4,9,6,,20,,,,2,2,,,22
,EURO,,,2,1,,3,,,,,,,,3
,HISP,,,,,,,,,,,,,,
,HIST,2,3,3,10,,18,,1,1,2,2,,,21
,PHUM,,1,,2,,3,,,,,,,,3
,POLS,10,2,11,13,,36,,1,1,4,4,,,41
,PRFM,1,1,,2,,4,,1,1,,,,,5
,PSYC,8,14,20,24,,66,,2,2,3,3,,,71
,SOCI,2,7,18,18,,45,,6,6,12,12,,,63
,Subtotal,39,48,92,98,,277,,13,13,29,29,,,319
