Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,1,2,11,,14,,1,1,,,,,15,
,PETE,,1,7,20,,28,,15,15,5,5,,,48,
,PETL,14,16,12,4,,46,,,,,,,,46,
,RHEL,2,1,,,,3,,,,,,,,3,
,RHEN,1,3,,6,,10,,,,,,,,10,
,SENG,,,,,,,,,,,,,,,
,USEN,,,1,,,1,,,,,,,,1,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,295,260,267,501,6,"1,329",1,100,101,41,41,,,"1,471",
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,9,,9,,,,,9,
,CHLS,,,,,,,7,,7,,,,,7,
,CNPM,,,,,,,4,,4,,,,,4,
,INTA,,,,,,,,10,10,,,,,10,
,PSAA,,,,,,,,12,12,,,,,12,
,Subtotal,,,,,,,20,22,42,,,,,42,
,ATMO,,,,,,,,1,1,,,,,1,
,ENGS,3,3,2,6,,14,,,,,,,,14,
,ENST,,4,5,7,,16,,,,,,,,16,
,GEOG,,3,2,2,,7,,4,4,1,1,,,12,
,GEOL,8,3,12,10,,33,,2,2,1,1,,,36,
,GEOP,3,2,1,3,,9,,2,2,,,,,11,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,6,5,4,10,1,26,,,,,,,,26,
,OCNG,,,,,,,,4,4,,,,,4,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,1,,1,,,,,,,,1,
,WMHS,,,,,,,,3,3,,,,,3,
,Subtotal,20,20,26,39,1,106,,16,16,2,2,,,124,
