Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,,2,,2,,2,2,,,,,4,
,AGCJ,,,1,1,,2,,,,,,,,2,
,AGEC,,,2,1,,3,,1,1,1,1,,,5,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,1,1,,,1,
,ALED,,,1,,,1,,,,,,,,1,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,,5,2,,8,,,,,,,,8,
,BAEN,3,,,8,,11,,,,1,1,,,12,
,BESC,1,,5,10,,16,,,,,,,,16,
,BICH,15,16,11,13,1,56,,2,2,,,,,58,
,BIOT,,,,,,,,1,1,,,,,1,
,CDEV,,,1,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,1,1,,,,2,,2,2,,,,,4,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,1,2,,,3,,,,,,,,3,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,1,1,1,1,,,2,
,FSTC,,4,,3,,7,,1,1,,,,,8,
,GENE,3,2,2,2,,9,,,,1,1,,,10,
,HORT,,,,,,,,1,1,1,1,,,2,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,3,5,6,15,,29,,,,,,,,29,
,NUTR,,,,,,,,2,2,,,,,2,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
