Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,9,11,16,13,,49,,1,1,3,3,,,53,
,CLSS,,,1,1,,2,,,,,,,,2,
,COMM,13,28,27,35,,103,,,,5,5,,,108,
,ECON,6,18,17,27,,68,,2,2,,,,,70,
,ENGL,20,22,35,42,,119,,1,1,12,12,,,132,
,FREN,,1,,,,1,,,,,,,,1,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,4,4,17,17,,,21,
,HIST,10,20,29,40,,99,,2,2,6,6,,,107,
,INTS,24,25,48,66,1,164,,,,,,,,164,
,MODL,,,,,,,,2,2,,,,,2,
,MUSC,,3,,4,,7,,,,,,,,7,
,NRSC,,,,,,,,1,1,1,1,,,2,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,2,2,,,,,2,
,PHIL,2,,3,2,,7,,2,2,4,4,,,13,
,POLS,36,35,28,39,2,140,,,,2,2,,,142,
,PSYC,37,53,78,117,,285,,2,2,11,11,,,298,
,RUSS,1,1,1,1,,4,,,,,,,,4,
,SOCI,9,9,38,49,,105,,14,14,21,21,,,140,
,SPAN,3,2,14,21,,40,,,,,,,,40,
,TCMS,3,9,5,4,,21,,,,,,,,21,
,THAR,2,2,2,3,,9,,,,,,,,9,
,USLA,,,1,1,,2,,,,,,,,2,
,WGST,,,1,6,,7,,,,,,,,7,
,Subtotal,175,239,344,471,3,"1,232",,33,33,82,82,,,"1,347",
