Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,4,,,4,,,,,,,,4,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,13,12,16,32,1,74,1,18,19,21,21,,,114,
Engineering,AERL,8,3,,,,11,,,,,,,,11,
,AERO,,2,3,9,,14,,,,2,2,,,16,
,BIOT,,,,,,,,3,3,,,,,3,
,BMEL,9,1,3,,,13,,,,,,,,13,
,BMEN,,1,9,16,,26,1,7,8,1,1,,,35,
,CECL,8,2,,1,,11,,,,,,,,11,
,CECN,,4,3,5,,12,1,2,3,2,2,,,17,
,CEEL,5,2,,2,,9,,,,,,,,9,
,CEEN,,1,,1,,2,,,,,,,,2,
,CHEL,11,4,3,3,,21,,,,,,,,21,
,CHEN,,8,11,28,,47,,1,1,,,,,48,
,CPSC,1,,3,9,,13,,2,2,3,3,,,18,
,CPSL,12,9,1,,,22,,,,,,,,22,
,CVEL,7,1,,,,8,,,,,,,,8,
,CVEN,,5,6,15,,26,,9,9,5,5,,,40,
,ELEL,25,10,8,1,,44,,,,,,,,44,
,ELEN,,4,11,34,,49,,13,13,8,8,,,70,
,ENGR,,,,,,,,,,2,2,,,2,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,1,14,,15,,,,,,,,15,
,ENTL,,3,1,1,,5,,,,,,,,5,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,1,1,1,,3,,,,,,,,3,
,IDIS,,1,2,6,,9,,,,,,,,9,
,INEL,3,2,3,3,1,12,,,,,,,,12,
,INEN,,,6,16,,22,,5,5,3,3,,,30,
,ITDE,,,,,,,,,,1,1,,,1,
,MEEL,5,3,3,3,,14,,,,,,,,14,
,MEEN,,8,9,17,,34,,9,9,5,5,,,48,
,MSEN,,,,,,,,5,5,1,1,,,6,
,NUEL,1,1,,,,2,,,,,,,,2,
,NUEN,,1,1,4,,6,,2,2,2,2,,,10,
,OCEL,,,,,,,,,,,,,,,
