Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,2,3,,5,,3,3,1,1,,,9
,ALEC,,,2,2,,4,,,,1,1,,,5
,ANSC,1,,5,2,,8,,,,,,,,8
,BAEN,3,,,8,,11,,1,1,1,1,,,13
,BCBP,18,18,13,15,1,65,,2,2,,,,,67
,CLAG,,,,,,,,,,,,,,
,ENTO,1,2,2,,,5,,2,2,,,,,7
,ESSM,,,,1,,1,,1,1,2,2,,,4
,HRSC,,,,,,,,1,1,1,1,,,2
,NFSC,3,9,6,18,,36,,2,2,1,1,,,39
,PLPM,1,,5,10,,16,,,,,,,,16
,POSC,,1,,,,1,,1,1,,,,,2
,RPTS,,1,4,2,,7,,1,1,,,,,8
,SCSC,,,,1,,1,,,,3,3,,,4
,WFSC,1,,,1,,2,,1,1,,,,,3
,Subtotal,28,31,39,63,1,162,,15,15,10,10,,,187
Architecture,ARCH,6,,4,5,,15,,4,4,3,3,,,22
,CLAR,,,,1,,1,,,,,,,,1
,COSC,,,2,1,,3,,,,,,,,3
,LAUP,1,,,4,,5,,,,2,2,,,7
,VIZA,2,2,1,1,,6,,7,7,,,,,13
,Subtotal,9,2,7,12,,30,,11,11,5,5,,,46
Business Admin,ACCT,,1,19,19,,39,,6,6,3,3,,,48
,CLBA,44,33,11,6,,94,,26,26,,,,,120
,FINC,,1,10,10,,21,1,7,8,2,2,,,31
,INFO,,,10,18,,28,,5,5,,,,,33
,MGMT,,,2,7,,9,,3,3,2,2,,,14
,MKTG,,,2,9,,11,,2,2,,,,,13
,Subtotal,44,35,54,69,,202,1,49,50,7,7,,,259
"Education
Engineering",CLED,,,,,,,,,,,,,,
,EAHR,1,2,5,9,,17,,6,6,9,9,,,32
,EPSY,,,,1,,1,,4,4,7,7,,,12
,HLKN,12,9,9,14,1,45,,4,4,4,4,,,53
,TLAC,,1,2,8,,11,1,4,5,1,1,,,17
,Subtotal,13,12,16,32,1,74,1,18,19,21,21,,,114
,AERO,8,5,3,9,,25,,,,2,2,,,27
,BMEN,9,2,12,16,,39,1,8,9,2,2,,,50
,CHEN,11,12,14,31,,68,,5,5,,,,,73
,CLEN,,,,,,,,,,3,3,,,3
,CSCE,21,15,7,15,,58,1,4,5,5,5,,,68
