Galveston Campus,,,,,,,,,,,
(Not included in University Total Enrollment) Fall 2011,,,,,,,,,,,
Fall 2011,,Student Level,,,,,,,,Grand Total,
,,G7,G8,U0,U1,U2,U3,U4,U5,,
Head Count Total,,67,17,4,726,369,332,517,5,"2,037",
Gender,Female,37,11,3,257,145,136,208,,797,
Male,,30,6,1,469,224,196,309,5,"1,240",
Ethnicity,White Only (NEW),54,8,1,531,289,255,402,3,"1,543",
American Indian Only (NEW),,1,,,3,2,2,9,,17,
Asian Only (NEW),,,,1,15,5,5,7,,33,
Black Only + 2 or more/1 Black (NEW),,1,,,17,9,7,16,1,51,
Hispanic or Latino of any Race (NEW),,4,1,2,124,51,50,68,1,301,
Native Hawaii Only (New),,1,,,1,,1,3,,6,
2 or More/Excluding Black (NEW),,2,,,28,12,8,5,,55,
International,,3,8,,6,1,3,3,,24,
Unknown or Not Reported,,1,,,1,,1,4,,7,
Academic Major,BIMS,1,,,,,,,,1,
ECON,,,,,,,,1,,1,
GACD,,,,3,222,44,2,5,,276,
MAAL,,8,,,,,,,,8,
MARA,,,,,59,61,77,94,,291,
MARB,,13,11,1,207,116,94,153,,595,
MARF,,,,,7,,4,6,,17,
MARM,,32,,,,,,,,32,
MARR,,,,,70,37,29,45,1,182,
MARS,,,,,14,12,13,18,,57,
MART,,,,,67,48,44,92,4,255,
MASE,,,,,59,29,30,60,,178,
MAST,,,,,7,10,22,19,,58,
OCNG,,4,2,,,,,,,6,
OCRE,,,,,13,12,16,19,,60,
PHIL,,,,,,,,1,,1,
PSAA,,1,,,,,,,,1,
RLEM,,,1,,,,,,,1,
USGA,,,,,1,,1,4,,6,
WFSC,,7,3,,,,,,,10,
WISC,,1,,,,,,,,1,
Enrollment Status,Continuing,51,14,3,110,287,268,475,3,"1,211",
1st Time In College,,,,,581,12,2,,,595,
1st Time Graduate,,16,3,,,,,,,19,
Readmitted,,,,1,5,15,15,18,1,55,
1st Time Transfer,,,,,30,55,47,24,1,157,
SCH Categories,< 6 SCH,19,2,2,1,2,3,19,,48,
6-8 SCH,,5,1,2,3,9,9,33,,62,
9-11 SCH,,41,14,,7,12,10,27,,111,
12-14 SCH,,2,,,373,220,169,232,3,999,
15-17 SCH,,,,,336,114,119,169,2,740,
>17 SCH,,,,,6,12,22,37,,77,
TAMU Age,<18,,,,6,,,,,6,
Categories,18-21,,,,703,300,188,117,,"1,308",
22-25,,23,2,1,8,36,104,280,1,455,
26-30,,26,10,2,4,21,19,84,2,168,
31-39,,10,4,1,2,7,16,19,1,60,
40+,,8,1,,3,5,5,17,1,40,
ft/pt: TAMU Status,Full-Time,43,14,,716,346,310,438,5,"1,872",
Half-Time,,6,1,2,9,21,19,58,,116,
Less Than Half-Time,,18,2,2,1,2,3,20,,48,
Not Enrolled,,,,,,,,1,,1,
Top 10% Texas High,No,63,16,3,680,329,308,471,4,"1,874",
School,Yes,4,1,1,46,40,24,46,1,163,
First Generation,No,39,8,1,510,241,196,301,3,"1,299",
Unknown,,7,5,,36,14,13,31,1,107,
Yes,,21,4,3,180,114,123,185,1,631,
"Prepared by OISP, 25 Jan 12",,,,,,,,,,,
Page 194,,,,,,,,,,,
