Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,2,2,3,5,,12,,2,2,,,,,14
,ALEC,,3,4,6,,13,,1,1,,,,,14
,ANSC,3,2,4,4,,13,,1,1,,,,,14
,BAEN,1,3,1,2,,7,,,,,,,,7
,BCBP,3,1,,4,1,9,,2,2,,,,,11
,CLAG,,,,,,,,,,,,,,
,ENTO,3,2,1,2,,8,,,,,,,,8
,ESSM,,1,3,1,,5,,1,1,,,,,6
,HRSC,,1,,1,,2,,,,,,,,2
,NFSC,2,3,3,4,,12,,,,,,,,12
,PLPM,,,2,3,,5,,1,1,,,,,6
,POSC,,,,1,,1,,1,1,,,,,2
,RPTS,1,2,,1,,4,,1,1,,,,,5
,SCSC,,,3,1,,4,,,,,,,,4
,WFSC,2,,5,1,,8,,,,,,,,8
,Subtotal,17,20,29,36,1,103,,10,10,,,,,113
Architecture,ARCH,2,2,1,4,,9,,,,,,,,9
,CLAR,,,2,,,2,,,,,,,,2
,COSC,,1,4,2,,7,,1,1,,,,,8
,LAUP,,,3,1,,4,,2,2,,,,,6
,VIZA,1,1,,,,2,,1,1,,,,,3
,Subtotal,3,4,10,7,,24,,4,4,,,,,28
Business Admin,ACCT,,1,3,3,,7,,1,1,,,,,8
,CLBA,11,11,4,5,,31,,,,,,,,31
,FINC,,,1,6,,7,,,,,,,,7
,INFO,,,3,3,,6,,,,,,,,6
,MGMT,,,2,3,,5,,,,,,,,5
,MKTG,,,3,4,,7,,,,,,,,7
,Subtotal,11,12,16,24,,63,,1,1,,,,,64
"Education
Engineering",CLED,,,,,,,,,,,,,,
,EAHR,,,,3,,3,,1,1,2,2,,,6
,EPSY,,1,,1,,2,,4,4,3,3,,,9
,HLKN,9,19,6,7,,41,,1,1,1,1,,,43
,TLAC,2,5,4,8,,19,1,2,3,4,4,,,26
,Subtotal,11,25,10,19,,65,1,8,9,10,10,,,84
,AERO,12,5,1,6,,24,,2,2,,,,,26
,BMEN,4,8,1,4,,17,,1,1,,,,,18
,CHEN,2,1,4,6,1,14,,2,2,,,,,16
,CLEN,,,,,,,,,,,,,,
,CSCE,3,5,3,3,,14,,2,2,1,1,,,17
