Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CVEN,7,7,6,17,,37,,11,11,5,5,,,53
,ECEN,30,17,19,38,,104,,13,13,8,8,,,125
,ETID,,5,5,22,,32,,,,,,,,32
,ISEN,3,2,9,19,1,34,,6,6,3,3,,,43
,MEEN,5,11,12,20,,48,,12,12,5,5,,,65
,NUEN,2,3,1,7,,13,,3,3,2,2,,,18
,PETE,5,9,10,14,,38,1,9,10,1,1,,,49
,Subtotal,101,88,98,208,1,496,3,71,74,36,36,,,606
G. Bush School of Govt,BUSH,,,,,,,,11,11,,,,,11
,Subtotal,,,,,,,,11,11,,,,,11
Geosciences,ATMO,,2,,,,2,,,,,,,,2
,CLGE,,1,2,1,,4,,,,,,,,4
,GEOG,1,1,,,,2,,,,2,2,,,4
,GEPL,2,,3,4,,9,1,2,3,1,1,,,13
,OCNG,,,,,,,,1,1,2,2,,,3
,Subtotal,3,4,5,5,,17,1,3,4,5,5,,,26
Liberal Arts,ANTH,1,,1,2,,4,,,,4,4,,,8
,CLLA,6,3,8,2,,19,,,,,,,,19
,COMM,4,1,10,8,,23,,,,2,2,,,25
,ECON,4,5,13,15,,37,1,,1,1,1,,,39
,ENGL,1,4,4,8,,17,,,,,,,,17
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,,2,1,1,5,,,,,,,,5
,PHUM,2,,2,2,,6,,,,,,,,6
,POLS,6,6,6,8,,26,,,,2,2,,,28
,PRFM,,1,,2,,3,,,,,,,,3
,PSYC,5,14,21,31,,71,,4,4,3,3,,,78
,SOCI,,1,7,7,,15,,1,1,3,3,,,19
,Subtotal,30,35,74,86,1,226,1,5,6,15,15,,,247
Science,BIOL,56,44,38,55,1,194,,2,2,3,3,,,199
,CHEM,14,6,4,6,,30,,7,7,2,2,,,39
,CLSC,,,,,,,,,,,,,,
,MATH,8,4,4,7,,23,1,1,2,2,2,,,27
,PHYS,3,3,1,,,7,,1,1,3,3,,,11
,STAT,,,,,,,6,15,21,,,,,21
,Subtotal,81,57,47,68,1,254,7,26,33,10,10,,,297
