International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,1,,1,,6,6,8,8,,,15,
,CLSS,,,,,,,,,,,,,,,
,COMM,,1,1,,,2,,2,2,8,8,,,12,
,ECON,1,2,7,9,,19,,70,70,54,54,,,143,
,ENGL,,1,,,,1,,5,5,20,20,,,26,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,1,,1,,,,,,,,1,
,HISP,,,,,,,,2,2,6,6,,,8,
,HIST,,,,1,,1,,2,2,2,2,,,5,
,INTS,,3,1,4,,8,,,,,,,,8,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,3,3,,,,,3,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,1,1,,,,,1,
,PHIL,,,,,,,,,,,,,,,
,POLS,,1,1,,,2,,1,1,9,9,,,12,
,PSYC,2,3,2,3,,10,2,2,4,8,8,,,22,
,RUSS,,,,,,,,,,,,,,,
,SOCI,1,,1,1,,3,,2,2,7,7,,,12,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,1,,,1,,,,,,,,1,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,4,11,14,20,,49,2,96,98,122,122,,,269,
