Headcount by Major by Level (College Station Campus) Fall 2011,,,,,,,
Fall 2011,,Undergrad uate,Masters,PhD,Profession al,Total,
Architecture,ARCH,,109,54,,163,
,COMG,,47,,,47,
,COSC,351,,,,351,
,COSL,254,,,,254,
,ENDL,186,,,,186,
,ENDS,156,,,,156,
,LAND,70,38,,,108,
,LANL,42,,,,42,
,LDEV,,33,,,33,
,NUTR,,,1,,1,
,URPL,,52,,,52,
,URSC,79,2,54,,135,
,USAR,46,,,,46,
,VISL,107,,,,107,
,VIST,87,87,,,174,
,Subtotal,"1,378",368,109,,"1,855",
Business Admin,ACCT,684,117,19,,820,
,AGBU,6,,,,6,
,BHNR,124,,,,124,
,BUAD,"1,603",133,,,"1,736",
,BUAG,10,,,,10,
,EMBA,,105,,,105,
,FINC,532,100,12,,644,
,INFO,403,,8,,411,
,MGMT,246,52,20,,318,
,MISY,,169,,,169,
,MKTG,401,54,10,,465,
,MLER,,55,,,55,
,USBU,151,,,,151,
,Subtotal,"4,160",785,69,,"5,014",
