Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,2,,,2,,,,,,,,2
,ALEC,,,,,,,,,,1,1,,,1
,ANSC,,,1,1,,2,,,,,,,,2
,BAEN,,1,,,,1,,,,,,,,1
,BCBP,1,,1,,,2,,,,2,2,,,4
,CLAG,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1
,ESSM,,,1,,,1,,,,,,,,1
,HRSC,,,,,,,,,,,,,,
,NFSC,1,,,,,1,,,,,,,,1
,PLPM,,,,,,,,,,1,1,,,1
,POSC,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,
,SCSC,,,,,,,,,,,,,,
,WFSC,,,1,,,1,,1,1,,,,,2
,Subtotal,2,1,6,1,,10,,1,1,5,5,,,16
Architecture,ARCH,,,,,,,,1,1,,,,,1
,CLAR,,,,,,,,,,,,,,
,COSC,,1,,,,1,,,,,,,,1
,LAUP,,,,,,,,1,1,,,,,1
,VIZA,,,,,,,,2,2,,,,,2
,Subtotal,,1,,,,1,,4,4,,,,,5
Business Admin,ACCT,,,,,,,,1,1,1,1,,,2
,CLBA,,1,1,,,2,,6,6,,,,,8
,FINC,,,1,,,1,,,,1,1,,,2
,INFO,,,,,,,,,,1,1,,,1
,MGMT,,,,,,,,2,2,3,3,,,5
,MKTG,,,,,,,,,,,,,,
,Subtotal,,1,2,,,3,,9,9,6,6,,,18
Education,CLED,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,1,1,,,1
,EPSY,,,,,,,,1,1,1,1,,,2
,HLKN,1,,,,,1,,,,,,,,1
,TLAC,,,,1,,1,,,,2,2,,,3
,Subtotal,1,,,1,,2,,1,1,4,4,,,7
