Headcount by Major by Level (College Station Campus) Fall 2011,,,,,,,
Fall 2011,,Undergrad uate,Masters,PhD,Profession al,Total,
Engineering,NUEN,165,73,49,,287,
,OCEL,43,,,,43,
,OCEN,88,40,19,,147,
,PETE,260,223,111,,594,
,PETL,408,,,,408,
,RHEL,20,,,,20,
,RHEN,46,,,,46,
,SENG,,9,,,9,
,USEN,3,,,,3,
,WMHS,,1,,,1,
,Subtotal,"8,329","1,620","1,230",,"11,179",
"G. Bush School of Govt
Geosciences",CAIA,,43,,,43,
,CHLS,,30,,,30,
,CNPM,,25,,,25,
,INTA,,128,,,128,
,PSAA,,108,,,108,
,Subtotal,,334,,,334,
,ATMO,,31,27,,58,
,ENGS,124,,,,124,
,ENST,106,,,,106,
,GEOG,89,22,38,,149,
,GEOL,171,62,28,,261,
,GEOP,49,18,13,,80,
,GEOS,,1,,,1,
,MARB,,1,,,1,
,METR,140,,,,140,
,OCNG,,37,46,,83,
,SPSG,3,,,,3,
,USGE,3,,,,3,
,WMHS,,21,14,,35,
,Subtotal,685,193,166,,"1,044",
