Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,1,,2,,3,,2,2,,,,,5,
,PETE,,,5,12,,17,1,9,10,1,1,,,28,
,PETL,5,9,5,2,,21,,,,,,,,21,
,RHEL,1,,,,,1,,,,,,,,1,
,RHEN,,1,,3,,4,,,,,,,,4,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,101,88,98,208,1,496,3,71,74,36,36,,,606,
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,8,8,,,,,8,
,PSAA,,,,,,,,3,3,,,,,3,
,Subtotal,,,,,,,,11,11,,,,,11,
,ATMO,,,,,,,,,,,,,,,
,ENGS,,1,2,1,,4,,,,,,,,4,
,ENST,1,1,,,,2,,,,,,,,2,
,GEOG,,,,,,,,,,2,2,,,2,
,GEOL,1,,3,2,,6,,1,1,1,1,,,8,
,GEOP,1,,,2,,3,1,1,2,,,,,5,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,2,,,,2,,,,,,,,2,
,OCNG,,,,,,,,1,1,2,2,,,3,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,3,4,5,5,,17,1,3,4,5,5,,,26,
