Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,,1,,1,
Angola,7,1,,,8,
Antigua and Barbuda,1,,,,1,
Argentina,,2,2,,4,
Armenia,,1,1,,2,
Australia,6,,,,6,
Austria,2,,1,,3,
Azerbaijan,2,,,,2,
"Bahamas, The",,1,1,,2,
Bahrain,2,3,2,,7,
Bangladesh,1,7,8,,16,
Barbados,,,1,,1,
Belarus,,,1,,1,
Belgium,,1,1,,2,
Belize (British Honduras),1,1,,,2,
Benin,2,,,,2,
Bolivia,16,1,,,17,
Brazil,7,8,23,,38,
Bulgaria,,3,1,,4,
Burma (Myanmar),,1,,,1,
Cambodia (Kampuchea),,,1,,1,
Cameroon,2,1,4,,7,
Canada,19,7,15,,41,
Chad,1,,,,1,
Chile,,1,7,,8,
"China, People's Rep of",76,630,538,,"1,244",
Colombia,1,15,35,,51,
Costa Rica,6,3,1,,10,
Cote d'Ivoire (Ivory Coast),2,,,,2,
Croatia,1,,,,1,
Cyprus,1,,,,1,
Czech Republic,1,2,,,3,
Denmark,2,1,,,3,
Dominican Republic,,,1,,1,
Ecuador,2,8,9,,19,
Egypt (A.R.E.),6,7,27,,40,
El Salvador,6,3,1,,10,
England,,1,,,1,
Equatorial Guinea,5,,,,5,
Ethiopia,,1,2,,3,
France,11,19,5,,35,
Gabon Republic,4,,,,4,
Georgia (C.I.S.),,1,1,,2,
Page 183,,,,,,
