Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Paraguay,1,,1,,2,
Peru,2,7,9,,18,
Philippines,,1,13,,14,
Poland,,,3,,3,
Portugal,,1,,,1,
Qatar,6,6,,,12,
Romania,,,2,,2,
Russia,2,2,8,,12,
Rwanda,,,2,,2,
Saudi Arabia,41,16,13,,70,
Serbia,,1,3,,4,
Singapore,2,5,4,,11,
Slovakia,,,1,,1,
South Africa,4,1,4,,9,
Spain,5,3,4,,12,
Sri Lanka (Ceylon),4,4,7,,15,
Sudan,1,,,,1,
Sweden,2,1,2,,5,
Switzerland,3,,,,3,
Syria,3,,1,,4,
Taiwan,2,45,152,,199,
Tanzania,1,,1,,2,
Thailand,2,22,23,,47,
Trinidad & Tobago,3,1,1,,5,
Tunisia,2,1,1,,4,
Turkey,1,49,65,,115,
Uganda,,1,2,,3,
Ukraine,,1,4,,5,
United Arab Emirates,21,6,5,,32,
United Kingdom,9,1,4,,14,
United States,"39,197","3,770","2,024",521,"45,512",
Uruguay,,1,,,1,
Uzbekistan,,2,2,,4,
Venezuela,6,14,4,,24,
Viet Nam Socialist Republic,24,11,12,,47,
Wales,,1,,,1,
Yemen,1,,,,1,
Zambia,1,,1,,2,
Zimbabwe (Rhodesia),,,2,,2,
Page 185,,,,,,
