Headcount by Major by Level by Entry Status (College Station Campus),,,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitte d,Continuing,1st Time Profession al,Readmitte d,Continuing,,
Geosciences,ATMO,,,,,,10,,21,7,,20,,,,58,
,ENGS,17,3,3,101,,,,,,,,,,,124,
,ENST,11,3,,92,,,,,,,,,,,106,
,GEOG,3,5,7,74,,9,,13,5,,33,,,,149,
,GEOL,34,14,4,119,,13,,49,4,,24,,,,261,
,GEOP,13,1,,35,,7,,11,1,,12,,,,80,
,GEOS,,,,,,,,1,,,,,,,1,
,MARB,,,,,,,,1,,,,,,,1,
,METR,43,4,2,91,,,,,,,,,,,140,
,OCNG,,,,,,13,,24,2,,44,,,,83,
,SPSG,1,,,2,,,,,,,,,,,3,
,USGE,,,,3,,,,,,,,,,,3,
,WMHS,,,,,1,15,,5,5,,9,,,,35,
,Subtotal,122,30,16,517,1,67,,125,24,,142,,,,"1,044",
Liberal Arts,AMST,,,,3,,,,,,,,,,,3,
,ANTH,28,15,3,146,,25,,45,11,1,48,,,,322,
,CLSS,3,2,,12,,,,,,,,,,,17,
,COMM,85,65,6,580,,6,,7,4,,36,,,,789,
,ECON,45,53,6,402,,73,,14,13,,50,,,,656,
,ENGL,75,33,1,533,,9,,12,11,,66,,,,740,
,FREN,2,,,12,,,,,,,,,,,14,
,GERM,,1,,7,,,,,,,,,,,8,
,HISP,,,,,,2,,4,13,,22,,,,41,
,HIST,62,63,24,544,1,5,,13,6,1,45,,,,764,
,INTS,91,34,5,538,,,,,,,,,,,668,
,MODL,,,,,,1,,3,,,,,,,4,
,MUSC,4,1,1,23,,,,,,,,,,,29,
,NRSC,,,,,,5,,1,2,,3,,,,11,
,NUTR,,,,,,,,1,,,,,,,1,
,PERF,,,,,,6,,5,,,,,,,11,
,PHIL,11,3,4,55,,9,,5,4,,9,,,,100,
,POLS,117,43,6,534,,7,,3,2,,36,,,,748,
,PSYC,113,111,22,"1,095",3,10,,24,12,,41,,,,"1,431",
,RUSS,2,,1,14,,,,,,,,,,,17,
,SOCI,24,21,7,415,,11,,20,11,,56,,,,565,
,SPAN,1,6,1,66,,,,,,,,,,,74,
,TCMS,32,20,,118,,,,,,,,,,,170,
,THAR,6,2,1,35,,,,,,,,,,,44,
,USLA,,,1,10,,,,,,,,,,,11,
,WGST,,,1,13,,,,,,,,,,,14,
,Subtotal,701,473,90,"5,155",4,169,,157,89,2,412,,,,"7,252",
