Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           CLVM VIBS VLCS VSCS VTPB VTPP
Subtotal",,45,47,35,40,,167,,3,3,,,16,16,186,
,,,,,,,,,5,5,,,,,5,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,3,3,,,,,3,
,,,,,,,,,,,2,2,,,2,
,,45,47,35,40,,167,,11,11,2,2,16,16,196,
"General Studies
Other - Special Populations
University",GEST,139,108,7,1,,255,,,,,,,,255,
,"Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",139,108,7,1,,255,,,,,,,,255,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,,,,,1,
,,493,419,382,584,5,"1,883",15,220,235,111,111,16,16,"2,245",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
