Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excluding Black (NEW),International,Unknown or Not Reported,Total,
G. Bush School of Govt,BUSH,225,4,11,16,42,1,6,26,3,334,
Subtotal,,225,4,11,16,42,1,6,26,3,334,
Geosciences,ATMO,137,,2,6,27,,2,24,,198,
CLGE,,104,,4,1,15,1,2,,,127,
GEOG,,203,2,4,8,31,,5,34,1,288,
GEPL,,209,,13,8,47,,4,64,1,346,
OCNG,,44,1,3,1,4,,,31,1,85,
Subtotal,,697,3,26,24,124,1,13,153,3,"1,044",
Liberal Arts,ANTH,226,,8,10,53,,10,15,,322,
CLLA,,452,2,19,25,173,3,13,8,1,696,
COMM,,722,2,25,39,129,,26,13,3,959,
ECON,,372,1,39,16,70,2,10,143,3,656,
ENGL,,519,6,17,22,132,2,14,26,2,740,
EURO,,45,,,3,7,,,1,,56,
HISP,,47,,,,63,,,8,1,119,
HIST,,605,1,5,21,107,,15,5,5,764,
PHUM,,71,2,6,3,13,,2,,3,100,
POLS,,503,3,28,41,142,1,13,12,5,748,
PRFM,,56,,3,5,18,,1,1,,84,
PSYC,,945,5,78,71,300,1,13,25,4,"1,442",
SOCI,,317,6,19,63,140,1,6,12,2,566,
Subtotal,,"4,880",28,247,319,"1,347",10,123,269,29,"7,252",
Science,BIOL,924,7,199,57,353,2,42,52,1,"1,637",
CHEM,,274,2,39,15,88,,9,149,4,580,
CLSC,,13,,,2,2,,,,,17,
MATH,,316,1,27,12,85,1,17,88,5,552,
PHYS,,181,1,11,4,41,,8,89,2,337,
STAT,,86,1,21,5,6,,3,55,7,184,
Subtotal,,"1,794",12,297,95,575,3,79,433,19,"3,307",
Veterinary Medicine,CLVM,"1,549",8,186,61,382,2,45,10,9,"2,252",
VIBS,,17,,5,2,3,,,19,,46,
VLCS,,9,,,,,,,1,,10,
VSCS,,,,,,2,,,6,,8,
VTPB,,28,,3,3,3,,,9,,46,
VTPP,,17,,2,1,,,,9,,29,
Subtotal,,"1,620",8,196,67,390,2,45,54,9,"2,391",
General Studies,GEST,"3,544",13,255,227,"1,007",6,105,49,14,"5,220",
Subtotal,,"3,544",13,255,227,"1,007",6,105,49,14,"5,220",
Other - Special Populations,CLMD,3,,,,1,,,3,3,10,
GACD,,1,,,,,,,,,1,
MARB,,,,,,,,,1,,1,
MARS,,1,,,,,,,,,1,
SABX,,,,,,,,,93,,93,
SRPH,,9,,1,2,1,,,4,4,21,
Subtotal,,14,,1,2,2,,,101,7,127,
Total,,32808,160,2245,1717,7561,48,846,4310,166,49861,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,
Page 24,,,,,,,,,,,,
