Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                   BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,,,1,,,1,,,,,,,,1,
,,1,,1,,,2,,1,1,1,1,,,4,
,,,,,,,,,,,,,,,,
,,1,,1,,,2,1,2,3,,,,,5,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,3,4,7,,,,,7,
,,2,,3,,,5,4,7,11,3,3,,,19,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,1,,,,2,,,,,,7,7,9,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,1,,,,2,,,,,,7,7,9,
,,10,4,,,,14,,,,,,,,14,
,,10,4,,,,14,,,,,,,,14,
,,,,,,,,3,,3,,,,,3,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,4,,4,,,,,4,
,,,,,,,,7,,7,,,,,7,
,,19,18,26,12,,75,13,43,56,28,28,7,7,166,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
