Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,1,19,19,,39,,6,6,3,3,,,48,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,3,3,,6,,,,,,,,6,
,BUAD,44,32,7,1,,84,,20,20,,,,,104,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,6,6,,,,,6,
,FINC,,1,10,10,,21,1,6,7,2,2,,,30,
,INFO,,,10,18,,28,,,,,,,,28,
,MGMT,,,2,7,,9,,3,3,2,2,,,14,
,MISY,,,,,,,,5,5,,,,,5,
,MKTG,,,2,9,,11,,2,2,,,,,13,
,MLER,,,,,,,,1,1,,,,,1,
,USBU,,1,1,2,,4,,,,,,,,4,
,Subtotal,44,35,54,69,,202,1,49,50,7,7,,,259,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,3,3,,,3,
,EDAD,,,,,,,,3,3,3,3,,,6,
,EDCI,,,,,,,1,4,5,1,1,,,6,
,EDHL,4,6,4,,,14,,,,,,,,14,
,EDIS,,1,2,1,,4,,,,,,,,4,
,EDKI,7,3,4,3,,17,,,,,,,,17,
,EDSM,1,,,,,1,,,,,,,,1,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,3,3,6,6,,,9,
,EPSY,,,,,,,,2,2,1,1,,,3,
,HEED,,,,,,,,1,1,2,2,,,3,
,HLTH,,,1,6,1,8,,,,,,,,8,
,HRDL,1,2,1,1,,5,,,,,,,,5,
,HRDV,,,,6,,6,,,,,,,,6,
,INST,,,,8,,8,,,,,,,,8,
,KINE,,,,4,,4,,1,1,2,2,,,7,
,NUTR,,,,,,,,1,1,,,,,1,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1,
,SPMT,,,,1,,1,,1,1,,,,,2,
,SPSY,,,,,,,,,,3,3,,,3,
,TCMG,,,,2,,2,,,,,,,,2,
