International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,1,1,,,1,
,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,,2,,2,,24,24,,,,,26,
,AGCJ,,,2,1,,3,,,,,,,,3,
,AGEC,,1,1,1,,3,,14,14,58,58,,,75,
,AGLS,,,,,,,,,,,,,,,
,AGRO,1,,,,,1,,2,2,2,2,,,5,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,1,,1,,2,,,,,,,,2,
,ALEC,,,,,,,,1,1,3,3,,,4,
,ALED,,,,1,,1,,,,,,,,1,
,ANBR,,,,,,,,,,2,2,,,2,
,ANSC,2,,,1,,3,,2,2,1,1,,,6,
,BAEN,1,1,,1,,3,,13,13,35,35,,,51,
,BESC,,,,2,,2,,,,,,,,2,
,BICH,1,2,1,3,,7,,20,20,30,30,,,57,
,BIOT,,,,,,,,6,6,,,,,6,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,1,,1,,1,1,12,12,,,14,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,4,4,4,4,,,8,
,FSTC,1,,,,,1,,7,7,10,10,,,18,
,GENE,,1,,2,,3,,4,4,3,3,,,10,
,HORT,,,,,,,1,5,6,9,9,,,15,
,MEPS,,,,,,,,6,6,10,10,,,16,
,NRDV,,,,,,,,,,,,,,,
,NUSC,1,,1,3,,5,,,,,,,,5,
,NUTR,,,,,,,,6,6,11,11,,,17,
,PLBR,,,,,,,,2,2,16,16,,,18,
,PLPA,,,,,,,,5,5,8,8,,,13,
