White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,8,19,39,,66,,14,14,,,,,80,
,PETE,,7,22,144,4,177,,57,57,6,6,,,240,
,PETL,97,85,86,22,,290,,,,,,,,290,
,RHEL,9,4,,1,,14,,,,,,,,14,
,RHEN,,1,10,17,,28,,,,,,,,28,
,SENG,,,,,,,1,,1,,,,,1,
,USEN,,,,1,,1,,,,,,,,1,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,"1,214","1,072","1,205","2,202",16,"5,709",5,470,475,219,219,,,"6,403",
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,28,,28,,,,,28,
,CHLS,,,,,,,19,,19,,,,,19,
,CNPM,,,,,,,16,,16,,,,,16,
,INTA,,,,,,,,94,94,,,,,94,
,PSAA,,,,,,,,68,68,,,,,68,
,Subtotal,,,,,,,63,162,225,,,,,225,
,ATMO,,,,,,,,24,24,9,9,,,33,
,ENGS,13,12,28,47,2,102,,,,,,,,102,
,ENST,10,16,17,37,,80,,,,,,,,80,
,GEOG,4,8,20,45,,77,,13,13,16,16,,,106,
,GEOL,25,20,21,50,,116,,44,44,10,10,,,170,
,GEOP,6,5,6,8,1,26,,10,10,2,2,,,38,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,1,1,,,,,1,
,METR,35,23,16,29,1,104,,,,,,,,104,
,OCNG,,,,,,,,21,21,22,22,,,43,
,SPSG,1,2,,,,3,,,,,,,,3,
,USGE,,,1,1,,2,,,,,,,,2,
,WMHS,,,,,,,1,11,12,3,3,,,15,
,Subtotal,94,86,109,217,4,510,1,124,125,62,62,,,697,
