Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CHEN,,1,,,,1,,,,,,,,1
,CLEN,,,,,,,,,,,,,,
,CSCE,1,,,,,1,,,,1,1,,,2
,CVEN,,,1,1,,2,,,,,,,,2
,ECEN,,,,3,,3,,,,,,,,3
,ETID,,,,,,,,,,,,,,
,ISEN,,1,1,,,2,,,,,,,,2
,MEEN,,,1,2,,3,,,,,,,,3
,NUEN,,,1,,,1,,,,,,,,1
,PETE,,,,,,,,,,,,,,
,Subtotal,1,2,4,6,,13,,,,1,1,,,14
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,1,1,,,,,1
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,1,,1,,,,,,,,1
,GEOG,,,,,,,,,,,,,,
,GEPL,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,,,,,,,,1
,ANTH,,,,,,,,,,,,,,
,CLLA,1,1,,1,,3,,,,,,,,3
,COMM,,,,,,,,,,,,,,
,ECON,,,,2,,2,,,,,,,,2
,ENGL,,,,2,,2,,,,,,,,2
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,
,PHUM,,,,,,,,,,,,,,
,POLS,,1,,,,1,,,,,,,,1
,PRFM,,,,,,,,,,,,,,
,PSYC,,,1,,,1,,,,,,,,1
,SOCI,,,,1,,1,,,,,,,,1
,Subtotal,1,2,1,6,,10,,,,,,,,10
