Headcount by Major by Ethnic Origin (College Station Campus),,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,
Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
Engineering,MSEN,18,,6,1,,,1,67,,93,
,NUEL,58,,2,1,13,,3,2,,79,
,NUEN,186,,10,6,30,,4,49,2,287,
,OCEL,30,1,,,6,,3,3,,43,
,OCEN,80,1,5,3,15,1,,42,,147,
,PETE,240,1,28,12,48,,4,253,8,594,
,PETL,290,3,21,15,46,,10,22,1,408,
,RHEL,14,,1,1,3,,1,,,20,
,RHEN,28,1,4,1,10,1,1,,,46,
,SENG,1,,,1,,,,7,,9,
,USEN,1,,,1,1,,,,,3,
,WMHS,,,,,,,,1,,1,
,Subtotal,"6,403",31,606,297,"1,471",14,186,"2,135",36,"11,179",
"G. Bush School of Govt
Geosciences",CAIA,28,,,2,9,,,2,2,43,
,CHLS,19,2,,1,7,,1,,,30,
,CNPM,16,,,5,4,,,,,25,
,INTA,94,,8,2,10,1,3,9,1,128,
,PSAA,68,2,3,6,12,,2,15,,108,
,Subtotal,225,4,11,16,42,1,6,26,3,334,
,ATMO,33,,,1,1,,,23,,58,
,ENGS,102,,4,1,14,1,2,,,124,
,ENST,80,1,2,4,16,,2,1,,106,
,GEOG,106,1,2,3,12,,2,22,1,149,
,GEOL,170,,8,7,36,,4,35,1,261,
,GEOP,38,,5,1,11,,,25,,80,
,GEOS,,,,,,,,1,,1,
,MARB,1,,,,,,,,,1,
,METR,104,,2,5,26,,2,1,,140,
,OCNG,43,1,3,1,4,,,30,1,83,
,SPSG,3,,,,,,,,,3,
,USGE,2,,,,1,,,,,3,
,WMHS,15,,,1,3,,1,15,,35,
,Subtotal,697,3,26,24,124,1,13,153,3,"1,044",
