White Only (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                      MARB
Populations                           MARM MAST MDSC PHLT REEP
Subtotal
University                              Total",,,,,,,,,,,,,,,
,,,,,,,,1,1,,,,,1,
,,,,1,,1,,,,,,,,1,
,,,,,,,3,,3,,,,,3,
,,,,,,,9,,9,,,,,9,
,,,,,,,,,,,,,,,
,,,,1,,1,12,1,13,,,,,14,
,"6,270","6,049","6,392","9,468",77,"28,256",140,"2,646","2,786","1,323","1,323",443,443,"32,808",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,
