Fall 2011,,Undergrad uate,Masters,PhD,Profession al,Total
Science,APHY,,1,10,,11
,APMS,145,,,,145
,BIOL,"1,259",23,52,,"1,334"
,BMCB,103,,,,103
,BOTN,,,2,,2
,CHEM,298,85,197,,580
,GENE,,,1,,1
,MATH,249,74,84,,407
,MBIO,80,5,11,,96
,MEPS,,,1,,1
,MSEN,,,1,,1
,PHYS,150,69,106,,325
,STAT,,137,47,,184
,USSC,17,,,,17
,ZOOL,88,1,11,,100
,Subtotal,"2,389",395,523,,"3,307"
Veterinary Medicine,BIMS,"1,699",62,37,,"1,798"
,BIOT,,4,,,4
,EPID,,1,,,1
,GENE,,1,5,,6
,LAMD,,2,,,2
,STJR,,9,,,9
,TOXI,,6,9,,15
,USVM,1,,,,1
,VPAT,,6,12,,18
,VPHY,,,1,,1
,VTMD,,,,521,521
,VTMI,,3,11,,14
,VTPH,,1,,,1
,Subtotal,"1,700",95,75,521,"2,391"
