International,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                      MARB
Populations                           MARM MAST MDSC PHLT REEP
Subtotal
University                              Total",,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,3,,3,,,,,3,
,,,,,,,4,,4,,,,,4,
,1,5,37,26,,69,24,,24,,,,,93,
,1,5,37,26,,69,31,,31,1,1,,,101,
,93,110,163,280,2,648,46,"1,706","1,752","1,910","1,910",,,"4,310",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,
