Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,1,4,6,15,,26,,3,3,,,,,29,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,,,,,3,
,PSSC,,,,,,,,,,,,,,,
,RENR,,1,3,3,,7,,,,,,,,7,
,RLEM,1,3,2,1,,7,1,2,3,9,9,,,19,
,RPTS,,6,13,19,1,39,,2,2,1,1,,,42,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,1,1,,,,,1,
,SPSA,,2,1,3,,6,,,,,,,,6,
,TOXI,,,,,,,,,,,,,,,
,USAL,,1,3,13,,17,,,,,,,,17,
,WFSC,7,17,27,39,,90,,18,18,13,13,,,121,
,WISC,,,,,,,,2,2,,,,,2,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,128,144,216,356,5,849,1,69,70,50,50,,,969,
Architecture,ARCH,,,,,,,,12,12,2,2,,,14,
,COMG,,,,,,,,4,4,,,,,4,
,COSC,,1,10,31,1,43,,,,,,,,43,
,COSL,14,19,11,2,,46,,,,,,,,46,
,ENDL,22,14,8,,,44,,,,,,,,44,
,ENDS,,,12,30,,42,,,,,,,,42,
,LAND,,,4,8,,12,,,,,,,,12,
,LANL,5,6,,,,11,,,,,,,,11,
,LDEV,,,,,,,,3,3,,,,,3,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,4,4,,,,,4,
,URSC,8,7,4,10,,29,,,,2,2,,,31,
,USAR,,,3,7,,10,,,,,,,,10,
,VISL,9,6,2,2,,19,,,,,,,,19,
,VIST,,1,2,10,,13,,6,6,,,,,19,
,Subtotal,58,54,56,100,1,269,,29,29,4,4,,,302,
