Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           CLVM VIBS VLCS VSCS VTPB VTPP
Subtotal",,139,70,55,68,,332,,3,3,,,47,47,382,
,,,,,,,,,3,3,,,,,3,
,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,2,2,1,1,,,3,
,,,,,,,,,,,,,,,,
,,139,70,55,68,,332,,9,9,2,2,47,47,390,
"General Studies
Other - Special Populations
University",GEST,596,368,43,,,"1,007",,,,,,,,"1,007",
,"Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",596,368,43,,,"1,007",,,,,,,,"1,007",
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,2,,2,,,,,2,
,,"1,819","1,416","1,412","2,074",18,"6,739",28,428,456,319,319,47,47,"7,561",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
