Headcount by Major by Ethnic Origin (College Station Campus),,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,
Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
Liberal Arts,AMST,2,,,1,,,,,,3,
,ANTH,226,,8,10,53,,10,15,,322,
,CLSS,14,,,1,2,,,,,17,
,COMM,595,2,17,31,108,,22,12,2,789,
,ECON,372,1,39,16,70,2,10,143,3,656,
,ENGL,519,6,17,22,132,2,14,26,2,740,
,FREN,12,,,1,1,,,,,14,
,GERM,7,,,,,,,1,,8,
,HISP,12,,,,21,,,8,,41,
,HIST,605,1,5,21,107,,15,5,5,764,
,INTS,437,2,19,21,164,3,13,8,1,668,
,MODL,2,,,,2,,,,,4,
,MUSC,18,,2,2,7,,,,,29,
,NRSC,4,,1,1,2,,,3,,11,
,NUTR,1,,,,,,,,,1,
,PERF,7,,,1,2,,,1,,11,
,PHIL,71,2,6,3,13,,2,,3,100,
,POLS,503,3,28,41,142,1,13,12,5,748,
,PSYC,941,5,77,70,298,1,13,22,4,"1,431",
,RUSS,12,,,1,4,,,,,17,
,SOCI,316,6,19,63,140,1,6,12,2,565,
,SPAN,33,,,,40,,,,1,74,
,TCMS,127,,8,8,21,,4,1,1,170,
,THAR,31,,1,2,9,,1,,,44,
,USLA,7,,,2,2,,,,,11,
,WGST,6,,,1,7,,,,,14,
,Subtotal,"4,880",28,247,319,"1,347",10,123,269,29,"7,252",
