Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,,1,1,,2,,1,1,,,,,3,
,PETE,,,,2,,2,,6,6,4,4,,,12,
,PETL,4,4,6,1,,15,,,,,,,,15,
,RHEL,1,,,,,1,,,,,,,,1,
,RHEN,,,,1,,1,,,,,,,,1,
,SENG,,,,,,,1,,1,,,,,1,
,USEN,,,,1,,1,,,,,,,,1,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,46,45,45,106,,242,2,29,31,24,24,,,297,
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,5,,5,,,,,5,
,INTA,,,,,,,,2,2,,,,,2,
,PSAA,,,,,,,,6,6,,,,,6,
,Subtotal,,,,,,,8,8,16,,,,,16,
,ATMO,,,,,,,,1,1,,,,,1,
,ENGS,,,,1,,1,,,,,,,,1,
,ENST,,2,,2,,4,,,,,,,,4,
,GEOG,,,1,1,,2,,,,1,1,,,3,
,GEOL,1,1,,3,,5,,2,2,,,,,7,
,GEOP,,,,1,,1,,,,,,,,1,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,2,1,1,1,,5,,,,,,,,5,
,OCNG,,,,,,,,1,1,,,,,1,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,3,4,2,9,,18,,5,5,1,1,,,24,
