Top 10,,,,,,,,
Fall 2011  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,1808,,,63.2%,,
"China, People's Rep of",,,398,,,13.9%,,
India,,,235,,,8.2%,,
"Korea, Republic of",,,98,,,3.4%,,
Taiwan,,,37,,,1.3%,,
Iran,,,28,,,1.0%,,
Turkey,,,28,,,1.0%,,
Mexico,,,19,,,0.7%,,
Thailand,,,13,,,0.5%,,
Colombia,,,11,,,0.4%,,
Texas County   Students  % Total,,,,,,,,
Harris,,312,,,10.9%,,,
Brazos,,132,,,4.6%,,,
Dallas,,79,,,2.8%,,,
Bexar,,68,,,2.4%,,,
Travis,,68,,,2.4%,,,
Tarrant,,56,,,2.0%,,,
Fort Bend,,51,,,1.8%,,,
Collin,,43,,,1.5%,,,
Montgomery,,39,,,1.4%,,,
Williamson,,36,,,1.3%,,,
State,Students  % Total,,,,,,,
Texas,1348,,,47.1%,,,,
California,54,,,1.9%,,,,
Illinois,27,,,0.9%,,,,
Florida,23,,,0.8%,,,,
Pennsylvania,20,,,0.7%,,,,
Georgia,18,,,0.6%,,,,
Indiana,16,,,0.6%,,,,
Ohio,16,,,0.6%,,,,
Virginia,15,,,0.5%,,,,
Colorado,14,,,0.5%,,,,
Page 182,,,,,,,,
