Headcount by Major by Level (College Station Campus) Fall 2011,,,,,,,
Fall 2011,,Undergrad uate,Masters,PhD,Profession al,Total,
Agriculture,ABME,,,2,,2,
,ADEV,,22,,,22,
,AGBL,148,,,,148,
,AGBU,149,47,,,196,
,AGCJ,254,,,,254,
,AGEC,398,40,75,,513,
,AGLS,72,,,,72,
,AGRO,142,18,8,,168,
,AGSC,130,,,,130,
,AGSM,133,2,,,135,
,ALEC,,81,62,,143,
,ALED,454,,,,454,
,ANBR,,7,5,,12,
,ANSC,823,60,19,,902,
,BAEN,201,34,43,,278,
,BESC,223,,,,223,
,BICH,210,37,73,,320,
,BIOT,,9,,,9,
,CDEV,31,,,,31,
,DASC,,2,,,2,
,ECOR,16,,,,16,
,ENST,30,,,,30,
,ENTO,79,19,32,,130,
,FISC,,3,,,3,
,FIVL,85,,,,85,
,FIVS,27,,,,27,
,FLOR,2,,,,2,
,FORS,18,9,10,,37,
,FSTC,117,24,15,,156,
,GENE,93,25,17,,135,
