Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,PLBR,26,,,1,2,,,18,,47
,PLPA,7,,,1,9,,1,13,1,32
,POSC,120,2,1,7,29,,2,11,,172
,PPRO,1,,,,,,,,,1
,PREP,7,,,1,3,1,,2,,14
,PSSC,4,,,,,,1,,,5
,RENR,43,2,,2,7,,,,1,55
,RLEM,81,,1,1,19,,3,8,,113
,RPTS,334,1,7,15,42,1,4,32,,436
,RRDV,1,,,,,,,,,1
,SOSC,19,,2,2,1,,,4,,28
,SPSA,24,,1,,6,,2,,,33
,TOXI,1,,,,,,,1,,2
,USAL,99,,1,10,17,,2,,,129
,WFSC,352,2,3,11,121,,8,20,2,519
,WISC,13,,,,2,,,,,15
,WMHS,11,,,,,,1,2,,14
,Subtotal,"4,991",34,187,214,969,4,113,456,16,"6,984"
Architecture,ARCH,65,2,7,2,14,,,72,1,163
,COMG,17,,,1,4,,1,24,,47
,COSC,290,4,2,6,43,,5,1,,351
,COSL,197,1,1,5,46,,2,1,1,254
,ENDL,126,,7,3,44,,5,1,,186
,ENDS,98,,8,3,42,,4,1,,156
,LAND,58,,4,,12,,4,30,,108
,LANL,29,,,1,11,,1,,,42
,LDEV,21,,,1,3,,,8,,33
,NUTR,,,,,,,,1,,1
,URPL,26,,,,4,,1,20,1,52
,URSC,50,,3,6,31,1,,44,,135
,USAR,32,,1,1,10,,2,,,46
,VISL,80,,4,1,19,,2,1,,107
,VIST,126,1,9,1,19,,1,15,2,174
,Subtotal,"1,215",8,46,31,302,1,28,219,5,"1,855"
