White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,1,1,,,1,
,ADEV,,,,,,,,18,18,,,,,18,
,AGBL,34,51,33,6,,124,,,,,,,,124,
,AGBU,,1,39,89,,129,,18,18,,,,,147,
,AGCJ,22,48,68,71,1,210,,,,,,,,210,
,AGEC,16,38,98,188,2,342,,21,21,13,13,,,376,
,AGLS,9,13,26,9,,57,,,,,,,,57,
,AGRO,6,23,29,58,,116,,16,16,6,6,,,138,
,AGSC,5,20,38,52,,115,,,,,,,,115,
,AGSM,5,17,30,58,,110,,2,2,,,,,112,
,ALEC,,,,,,,7,67,74,46,46,,,120,
,ALED,19,47,115,165,1,347,,,,,,,,347,
,ANBR,,,,,,,,6,6,3,3,,,9,
,ANSC,111,132,159,250,5,657,3,50,53,16,16,,,726,
,BAEN,45,31,31,38,1,146,,18,18,3,3,,,167,
,BESC,12,21,33,60,,126,,,,,,,,126,
,BICH,25,17,22,29,4,97,,12,12,34,34,,,143,
,BIOT,,,,,,,,2,2,,,,,2,
,CDEV,1,4,9,8,,22,,,,,,,,22,
,DASC,,,,,,,,2,2,,,,,2,
,ECOR,2,2,4,4,,12,,,,,,,,12,
,ENST,6,4,11,4,,25,,,,,,,,25,
,ENTO,3,4,19,16,1,43,,10,10,15,15,,,68,
,FISC,,,,,,,,2,2,,,,,2,
,FIVL,20,12,11,,,43,,,,,,,,43,
,FIVS,,,5,12,,17,,,,,,,,17,
,FLOR,,,,1,,1,,,,,,,,1,
,FORS,1,3,4,8,,16,,3,3,4,4,,,23,
,FSTC,6,12,17,41,1,77,,13,13,4,4,,,94,
,GENE,11,14,11,25,1,62,1,17,18,11,11,,,91,
,HORT,9,20,43,70,,142,,9,9,4,4,,,155,
,MEPS,,,,,,,,2,2,3,3,,,5,
,NRDV,,,,,,,2,27,29,,,,,29,
,NUSC,47,51,71,127,4,300,,,,,,,,300,
,NUTR,,,,,,,1,13,14,7,7,,,21,
,PLBR,,,,,,,,15,15,11,11,,,26,
,PLPA,,,,,,,,4,4,3,3,,,7,
