Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CVEN,6,2,5,3,,16,,,,1,1,,,17
,ECEN,8,7,3,7,,25,,3,3,1,1,,,29
,ETID,2,3,3,5,,13,,,,,,,,13
,ISEN,,4,2,2,,8,,1,1,,,,,9
,MEEN,5,5,2,2,,14,,4,4,,,,,18
,NUEN,2,1,3,1,,7,,2,2,,,,,9
,PETE,3,6,1,2,,12,,2,2,,,,,14
,Subtotal,47,47,28,41,1,164,,19,19,3,3,,,186
G. Bush School of Govt,BUSH,,,,,,,1,5,6,,,,,6
,Subtotal,,,,,,,1,5,6,,,,,6
Geosciences,ATMO,,,2,,,2,,,,,,,,2
,CLGE,,1,,1,,2,,,,,,,,2
,GEOG,,1,,2,,3,,,,2,2,,,5
,GEPL,1,,1,1,,3,,1,1,,,,,4
,OCNG,,,,,,,,,,,,,,
,Subtotal,1,2,3,4,,10,,1,1,2,2,,,13
Liberal Arts,ANTH,4,2,,,,6,,3,3,1,1,,,10
,CLLA,4,2,3,4,,13,,,,,,,,13
,COMM,4,5,5,12,,26,,,,,,,,26
,ECON,4,1,1,4,,10,,,,,,,,10
,ENGL,2,4,4,3,,13,,,,1,1,,,14
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,2,2,5,4,,13,,1,1,1,1,,,15
,PHUM,,1,1,,,2,,,,,,,,2
,POLS,3,3,1,6,,13,,,,,,,,13
,PRFM,,,,1,,1,,,,,,,,1
,PSYC,3,6,,4,,13,,,,,,,,13
,SOCI,,,,3,,3,,1,1,2,2,,,6
,Subtotal,26,26,20,41,,113,,5,5,5,5,,,123
Science,BIOL,10,6,6,19,,41,,1,1,,,,,42
,CHEM,4,3,,1,,8,,,,1,1,,,9
,CLSC,,,,,,,,,,,,,,
,MATH,5,3,2,6,,16,,,,1,1,,,17
,PHYS,1,,1,1,,3,,1,1,4,4,,,8
,STAT,,,,,,,,3,3,,,,,3
,Subtotal,20,12,9,27,,68,,5,5,6,6,,,79
