Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,4,2,,7,,13,,15,15,32,32,,,60
,BMEN,,,1,1,,2,,9,9,26,26,,,37
,CHEN,,4,8,24,,36,,52,52,61,61,,,149
,CLEN,,,,,,,,,,1,1,,,1
,CSCE,4,11,6,18,,39,,131,131,86,86,,,256
,CVEN,2,5,8,13,1,29,,110,110,137,137,,,276
,ECEN,4,13,17,33,,67,1,221,222,200,200,,,489
,ETID,,,4,8,,12,,1,1,,,,,13
,ISEN,3,15,10,13,,41,,134,134,44,44,,,219
,MEEN,2,2,7,9,,20,3,86,89,199,199,,,308
,NUEN,2,4,3,5,,14,,17,17,21,21,,,52
,PETE,5,5,13,32,1,56,,125,125,94,94,,,275
,Subtotal,26,61,77,163,2,329,4,901,905,901,901,,,"2,135"
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,2,24,26,,,,,26
,Subtotal,,,,,,,2,24,26,,,,,26
,ATMO,1,,,,,1,,5,5,18,18,,,24
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,2,,2,,9,9,23,23,,,34
,GEPL,5,2,5,6,,18,1,15,16,30,30,,,64
,OCNG,,,,,,,,9,9,22,22,,,31
,Subtotal,6,2,5,8,,21,1,38,39,93,93,,,153
,ANTH,,,,1,,1,,6,6,8,8,,,15
,CLLA,,3,1,4,,8,,,,,,,,8
,COMM,,1,2,,,3,,2,2,8,8,,,13
,ECON,1,2,7,9,,19,,70,70,54,54,,,143
,ENGL,,1,,,,1,,5,5,20,20,,,26
,EURO,,,,1,,1,,,,,,,,1
,HISP,,,,,,,,2,2,6,6,,,8
,HIST,,,,1,,1,,2,2,2,2,,,5
,PHUM,,,,,,,,,,,,,,
,POLS,,1,1,,,2,,1,1,9,9,,,12
,PRFM,,,,,,,,1,1,,,,,1
,PSYC,2,3,2,3,,10,2,5,7,8,8,,,25
,SOCI,1,,1,1,,3,,2,2,7,7,,,12
,Subtotal,4,11,14,20,,49,2,96,98,122,122,,,269
