American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,,
,COMM,,,2,,,2,,,,,,,,2,
,ECON,,,1,,,1,,,,,,,,1,
,ENGL,1,1,3,1,,6,,,,,,,,6,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,1,,1,,,,,,,,1,
,INTS,,1,,1,,2,,,,,,,,2,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,,1,,1,,,,1,1,,,2,
,POLS,,2,1,,,3,,,,,,,,3,
,PSYC,1,,,4,,5,,,,,,,,5,
,RUSS,,,,,,,,,,,,,,,
,SOCI,1,2,1,1,,5,,,,1,1,,,6,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,3,6,8,9,,26,,,,2,2,,,28,
