Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                      MARB
Populations                           MARM MAST MDSC PHLT REEP
Subtotal
University                              Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,
,,,,,,,2,,2,,,,,2,
,"1,819","1,416","1,412","2,074",18,"6,739",28,428,456,319,319,47,47,"7,561",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,
