Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                   BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,3,1,,2,,6,,14,14,32,32,,,52,
,,,,2,5,,7,,37,37,105,105,,,149,
,,,,,,,,,,,,,,,,
,,2,1,,3,,6,,23,23,59,59,,,88,
,,1,,2,2,,5,,28,28,56,56,,,89,
,,,,,,,,2,14,16,39,39,,,55,
,,6,2,4,12,,24,2,116,118,291,291,,,433,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,,2,1,,4,,4,4,2,2,,,10,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",,,,,,,,7,7,12,12,,,19,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,1,1,5,5,,,6,
,,,,,,,,1,2,3,6,6,,,9,
,,,,,,,,,1,1,8,8,,,9,
,,1,,2,1,,4,1,16,17,33,33,,,54,
,,38,11,,,,49,,,,,,,,49,
,,38,11,,,,49,,,,,,,,49,
,,,,,,,,3,,3,,,,,3,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,,
,,1,5,37,26,,69,24,,24,,,,,93,
,,,,,,,,4,,4,,,,,4,
,,1,5,37,26,,69,31,,31,1,1,,,101,
,,93,110,163,280,2,648,46,"1,706","1,752","1,910","1,910",,,"4,310",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
