International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,,1,,,1,,3,3,7,7,,,11,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,1,1,1,1,,,2,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,1,2,3,5,5,,,8,
,RPTS,,,,2,,2,,10,10,20,20,,,32,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,1,1,3,3,,,4,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,1,,1,,6,6,13,13,,,20,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,2,2,,,2,
,Subtotal,7,6,6,22,,41,2,146,148,267,267,,,456,
Architecture,ARCH,,,,,,,,34,34,38,38,,,72,
,COMG,,,,,,,,24,24,,,,,24,
,COSC,,,,1,,1,,,,,,,,1,
,COSL,,,1,,,1,,,,,,,,1,
,ENDL,,1,,,,1,,,,,,,,1,
,ENDS,,,,1,,1,,,,,,,,1,
,LAND,,,,,,,,30,30,,,,,30,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,8,8,,,,,8,
,NUTR,,,,,,,,,,1,1,,,1,
,URPL,,,,,,,,20,20,,,,,20,
,URSC,,,,,,,,2,2,42,42,,,44,
,USAR,,,,,,,,,,,,,,,
,VISL,,,1,,,1,,,,,,,,1,
,VIST,,,,1,,1,,14,14,,,,,15,
,Subtotal,,1,2,3,,6,,132,132,81,81,,,219,
