American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,,1,,,1,,,,,,,,1,
,PETE,,,,,,,,1,1,,,,,1,
,PETL,1,1,1,,,3,,,,,,,,3,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,1,,1,,,,,,,,1,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,8,4,8,9,,29,,1,1,1,1,,,31,
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,2,,2,,,,,2,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,,
,PSAA,,,,,,,,2,2,,,,,2,
,Subtotal,,,,,,,2,2,4,,,,,4,
,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,1,,,1,,,,,,,,1,
,GEOG,,1,,,,1,,,,,,,,1,
,GEOL,,,,,,,,,,,,,,,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,1,1,,,2,,1,1,,,,,3,
