Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                   BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,,,2,,,2,,,,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,,,1,,,,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,2,,,3,,,,,,,,3,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,1,,1,,,2,,,,,,,,2,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,1,,,2,,,,,,,,2,
,,3,3,,,,6,,,,,,,,6,
,,3,3,,,,6,,,,,,,,6,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,8,10,12,15,,45,,1,1,2,2,,,48,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
