Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,3,3,,,3,
APMS,11,2,4,5,,22,,,,,,,,22,
BIOL,104,46,50,89,,289,,1,1,,,,,290,
BMCB,4,7,6,10,,27,,,,,,,,27,
BOTN,,,,,,,,,,1,1,,,1,
CHEM,35,13,12,14,,74,,3,3,11,11,,,88,
GENE,,,,,,,,,,,,,,,
MATH,26,12,9,13,,60,2,,2,1,1,,,63,
MBIO,5,2,4,7,,18,,1,1,1,1,,,20,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,16,1,3,6,,26,,5,5,7,7,,,38,
STAT,,,,,,,2,4,6,,,,,6,
USSC,,,2,,,2,,,,,,,,2,
ZOOL,4,3,4,4,,15,,,,,,,,15,
Subtotal,205,86,94,148,,533,4,14,18,24,24,,,575,
Veterinary Medicine     BIMS,139,70,55,68,,332,,6,6,1,1,,,339,
BIOT,,,,,,,,1,1,,,,,1,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,1,1,1,1,,,2,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,47,47,47,
VTMI,,,,,,,,1,1,,,,,1,
VTPH,,,,,,,,,,,,,,,
Subtotal,139,70,55,68,,332,,9,9,2,2,47,47,390,
General Studies             GEST,472,341,40,,,853,,,,,,,,853,
TEAM,124,27,3,,,154,,,,,,,,154,
Subtotal,596,368,43,,,"1,007",,,,,,,,"1,007",
