Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,190,15.9%,109,-14.8%,87,17.6%,,,386,5.5%,
Gender,Female,84,27.3%,39,-18.8%,27,107.7%,,,150,18.1%,
,Male,106,8.2%,70,-12.5%,60,-1.6%,,,236,-1.3%,
Ethnicity,White,171,23.9%,69,-25.0%,32,33.3%,,,272,7.1%,
,Black,1,-66.7%,,,,,,,1,-66.7%,
,Hispanic,13,0.0%,5,400.0%,,,,,18,28.6%,
,Asian,0,-100.0%,1,-50.0%,3,200.0%,,,4,-42.9%,
,American Indian,0,-100.0%,1,0.0%,,,,,1,-66.7%,
,International,2,0.0%,31,10.7%,52,6.1%,,,85,7.6%,
,Unknown/Other,3,50.0%,2,-50.0%,,,,,5,-16.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,62,26.5%,1,100.0%,,,,,63,28.6%,
,22-25,97,9.0%,37,-27.5%,1,100.0%,,,135,-3.6%,
,26-30,21,16.7%,46,-14.8%,23,-4.2%,,,90,-6.3%,
,31-39,9,28.6%,22,22.2%,50,25.0%,,,81,24.6%,
,40+,1,0.0%,3,-40.0%,13,30.0%,,,17,6.3%,
Enrollment,1st Time in College,1,100.0%,,,,,,,1,100.0%,
Status,1st Time PB,1,0.0%,,,,,,,1,0.0%,
,1st Time Graduate,,,5,66.7%,1,100.0%,,,6,100.0%,
,1st Time Transfer,5,150.0%,,,,,,,5,150.0%,
,Readmitted,1,100.0%,,,,,,,1,100.0%,
,Continuing,182,13.0%,104,-16.8%,86,16.2%,,,372,3.3%,
Tuition Status,Resident Tuition,180,21.6%,32,-17.9%,13,62.5%,,,225,15.4%,
,Non-Resident Tuition,6,-33.3%,18,-10.0%,19,-9.5%,,,43,-14.0%,
,Tuition Exemption/Waiver,4,-42.9%,59,-14.5%,55,22.2%,,,118,-2.5%,
Residency,Texas Resident,182,22.1%,33,-15.4%,13,62.5%,,,228,16.3%,
Status,"Non-TX, US Resident",6,-53.8%,45,-26.2%,21,23.5%,,,72,-20.9%,
,"Non-TX, Non-US Resident",2,0.0%,31,10.7%,53,8.2%,,,86,8.9%,
SCH Categories,< 6 SCH,45,2.3%,21,-41.7%,26,23.8%,,,92,-8.9%,
,6-8 SCH,72,-4.0%,82,-7.9%,60,20.0%,,,214,0.0%,
,9-11 SCH,45,104.5%,6,100.0%,1,-50.0%,,,52,92.6%,
,12-14 SCH,23,27.8%,,,0,-100.0%,,,23,21.1%,
,15-17 SCH,4,-20.0%,,,,,,,4,-20.0%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt: TAMU,Less Than Half Time,10,-28.6%,10,-56.5%,20,17.6%,,,40,-25.9%,
Status,Half-Time,47,46.9%,3,200.0%,2,-33.3%,,,52,44.4%,
,Three-Quarter Time,1,100.0%,,,,,,,1,100.0%,
,Full-Time,132,11.9%,96,-7.7%,65,20.4%,,,293,6.2%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
