Top 10,,,,,,,,,
Summer 2002 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16923,,,,88.3%,,
India,,,443,,,,2.3%,,
"China, People's Rep of",,,422,,,,2.2%,,
"Korea, Republic of",,,391,,,,2.0%,,
Mexico,,,99,,,,0.5%,,
Indonesia,,,69,,,,0.4%,,
Turkey,,,57,,,,0.3%,,
Taiwan,,,54,,,,0.3%,,
Venezuela,,,43,,,,0.2%,,
Russia,,,35,,,,0.2%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2803,,,14.6%,,,,
Brazos,,1494,,,7.8%,,,,
Dallas,,883,,,4.6%,,,,
Bexar,,821,,,4.3%,,,,
Tarrant,,785,,,4.1%,,,,
Fort Bend,,485,,,2.5%,,,,
Montgomery,,428,,,2.2%,,,,
Collin,,406,,,2.1%,,,,
Travis,,405,,,2.1%,,,,
Denton,,275,,,1.4%,,,,
State,Students  % Total,,,,,,,,
Texas,15690,,,81.9%,,,,,
Louisiana,140,,,0.7%,,,,,
California,115,,,0.6%,,,,,
New York,52,,,0.3%,,,,,
Illinois,51,,,0.3%,,,,,
Florida,50,,,0.3%,,,,,
Arkansas,50,,,0.3%,,,,,
Oklahoma,48,,,0.3%,,,,,
New Mexico,39,,,0.2%,,,,,
Missouri,37,,,0.2%,,,,,
